date,value
2022-11-30,147
2022-12-01,166
2022-12-02,147
2022-12-03,108
2022-12-04,105
2022-12-05,158
2022-12-06,155
2022-12-07,169
2022-12-08,138
2022-12-09,137
2022-12-10,78
2022-12-11,96
2022-12-12,156
2022-12-13,158
2022-12-14,157
2022-12-15,141
2022-12-16,140
2022-12-17,85
2022-12-18,69
2022-12-19,152
2022-12-20,169
2022-12-21,143
2022-12-22,152
2022-12-23,110
2022-12-24,71
2022-12-25,69
2022-12-26,134
2022-12-27,110
2022-12-28,146
2022-12-29,163
2022-12-30,124
2022-12-31,76
2023-01-01,63
2023-01-02,120
2023-01-03,146
2023-01-04,150
2023-01-05,160
2023-01-06,133
2023-01-07,90
2023-01-08,91
2023-01-09,139
2023-01-10,150
2023-01-11,182
2023-01-12,170
2023-01-13,156
2023-01-14,103
2023-01-15,96
2023-01-16,144
2023-01-17,164
2023-01-18,154
2023-01-19,146
2023-01-20,129
2023-01-21,105
2023-01-22,86
2023-01-23,127
2023-01-24,118
2023-01-25,158
2023-01-26,132
2023-01-27,133
2023-01-28,109
2023-01-29,97
2023-01-30,153
2023-01-31,141
2023-02-01,146
2023-02-02,149
2023-02-03,134
2023-02-04,79
2023-02-05,93
2023-02-06,163
2023-02-07,153
2023-02-08,149
2023-02-09,152
2023-02-10,155
2023-02-11,94
2023-02-12,89
2023-02-13,155
2023-02-14,137
2023-02-15,167
2023-02-16,180
2023-02-17,146
2023-02-18,107
2023-02-19,92
2023-02-20,133
2023-02-21,147
2023-02-22,168
2023-02-23,161
2023-02-24,113
2023-02-25,87
2023-02-26,87
2023-02-27,136
2023-02-28,156
2023-03-01,134
2023-03-02,141
2023-03-03,131
2023-03-04,83
2023-03-05,79
2023-03-06,129
2023-03-07,142
2023-03-08,139
2023-03-09,155
2023-03-10,124
2023-03-11,101
2023-03-12,102
2023-03-13,142
2023-03-15,153
2023-03-16,122
2023-03-17,113
2023-03-18,79
2023-03-19,77
2023-03-20,140
2023-03-21,128
2023-03-22,143
2023-03-23,155
2023-03-24,142
2023-03-25,103
2023-03-26,89
2023-03-27,128
2023-03-28,131
2023-03-29,173
2023-03-30,147
2023-03-31,129
2023-04-01,78
2023-04-02,72
2023-04-03,120
2023-04-04,138
2023-04-05,150
2023-04-06,152
2023-04-07,117
2023-04-08,81
2023-04-09,89
2023-04-10,143
2023-04-11,129
2023-04-12,110
2023-04-13,152
2023-04-14,138
2023-04-15,81
2023-04-16,95
2023-04-17,144
2023-04-18,148
2023-04-19,159
2023-04-20,135
2023-04-21,112
2023-04-22,90
2023-04-23,78
2023-04-24,126
2023-04-25,122
2023-04-26,138
2023-04-27,147
2023-04-28,124
2023-04-29,74
2023-04-30,66
