date,value
2022-11-30,247
2022-12-01,271
2022-12-02,239
2022-12-03,184
2022-12-04,171
2022-12-05,261
2022-12-06,267
2022-12-07,288
2022-12-08,267
2022-12-09,234
2022-12-10,172
2022-12-11,186
2022-12-12,296
2022-12-13,267
2022-12-14,284
2022-12-15,268
2022-12-16,249
2022-12-17,166
2022-12-18,140
2022-12-19,247
2022-12-20,273
2022-12-21,304
2022-12-22,279
2022-12-23,233
2022-12-24,143
2022-12-25,133
2022-12-26,196
2022-12-27,242
2022-12-28,245
2022-12-29,260
2022-12-30,214
2022-12-31,121
2023-01-01,113
2023-01-02,237
2023-01-03,276
2023-01-04,303
2023-01-05,250
2023-01-06,238
2023-01-07,184
2023-01-08,163
2023-01-09,292
2023-01-10,229
2023-01-11,259
2023-01-12,240
2023-01-13,244
2023-01-14,138
2023-01-15,156
2023-01-16,238
2023-01-17,256
2023-01-18,297
2023-01-19,288
2023-01-20,244
2023-01-21,150
2023-01-22,158
2023-01-23,256
2023-01-24,267
2023-01-25,245
2023-01-26,241
2023-01-27,254
2023-01-28,166
2023-01-29,140
2023-01-30,259
2023-01-31,274
2023-02-01,298
2023-02-02,237
2023-02-03,228
2023-02-04,171
2023-02-05,156
2023-02-06,228
2023-02-07,245
2023-02-08,261
2023-02-09,263
2023-02-10,263
2023-02-11,155
2023-02-12,170
2023-02-13,259
2023-02-14,252
2023-02-15,252
2023-02-16,261
2023-02-17,248
2023-02-18,148
2023-02-19,180
2023-02-20,221
2023-02-21,247
2023-02-22,246
2023-02-23,253
2023-02-24,229
2023-02-25,149
2023-02-26,154
2023-02-27,226
2023-02-28,237
2023-03-01,241
2023-03-02,219
2023-03-03,209
2023-03-04,155
2023-03-05,167
2023-03-06,223
2023-03-07,249
2023-03-08,237
2023-03-09,234
2023-03-10,219
2023-03-11,142
2023-03-12,159
2023-03-13,185
2023-03-15,225
2023-03-16,254
2023-03-17,223
2023-03-18,143
2023-03-19,142
2023-03-20,204
2023-03-21,206
2023-03-22,229
2023-03-23,224
2023-03-24,218
2023-03-25,156
2023-03-26,145
2023-03-27,221
2023-03-28,241
2023-03-29,241
2023-03-30,230
2023-03-31,198
2023-04-01,141
2023-04-02,140
2023-04-03,200
2023-04-04,209
2023-04-05,228
2023-04-06,228
2023-04-07,189
2023-04-08,141
2023-04-09,139
2023-04-10,190
2023-04-11,216
2023-04-12,230
2023-04-13,218
2023-04-14,200
2023-04-15,143
2023-04-16,153
2023-04-17,236
2023-04-18,242
2023-04-19,226
2023-04-20,229
2023-04-21,174
2023-04-22,139
2023-04-23,123
2023-04-24,212
2023-04-25,214
2023-04-26,205
2023-04-27,176
2023-04-28,182
2023-04-29,130
2023-04-30,125
