date,value
2022-11-30,86
2022-12-01,91
2022-12-02,61
2022-12-03,41
2022-12-04,42
2022-12-05,81
2022-12-06,108
2022-12-07,91
2022-12-08,86
2022-12-09,61
2022-12-10,33
2022-12-11,28
2022-12-12,79
2022-12-13,64
2022-12-14,86
2022-12-15,81
2022-12-16,75
2022-12-17,35
2022-12-18,36
2022-12-19,83
2022-12-20,77
2022-12-21,75
2022-12-22,77
2022-12-23,65
2022-12-24,28
2022-12-25,21
2022-12-26,56
2022-12-27,66
2022-12-28,64
2022-12-29,72
2022-12-30,68
2022-12-31,28
2023-01-01,18
2023-01-02,50
2023-01-03,80
2023-01-04,72
2023-01-05,83
2023-01-06,60
2023-01-07,31
2023-01-08,36
2023-01-09,68
2023-01-10,71
2023-01-11,82
2023-01-12,78
2023-01-13,70
2023-01-14,33
2023-01-15,34
2023-01-16,70
2023-01-17,98
2023-01-18,83
2023-01-19,67
2023-01-20,57
2023-01-21,31
2023-01-22,43
2023-01-23,72
2023-01-24,73
2023-01-25,89
2023-01-26,60
2023-01-27,66
2023-01-28,26
2023-01-29,51
2023-01-30,87
2023-01-31,79
2023-02-01,84
2023-02-02,91
2023-02-03,74
2023-02-04,48
2023-02-05,39
2023-02-06,95
2023-02-07,85
2023-02-08,86
2023-02-09,83
2023-02-10,56
2023-02-11,31
2023-02-12,33
2023-02-13,66
2023-02-14,72
2023-02-15,78
2023-02-16,76
2023-02-17,71
2023-02-18,42
2023-02-19,29
2023-02-20,101
2023-02-21,68
2023-02-22,78
2023-02-23,71
2023-02-24,85
2023-02-25,37
2023-02-26,41
2023-02-27,79
2023-02-28,88
2023-03-01,78
2023-03-02,96
2023-03-03,72
2023-03-04,39
2023-03-05,40
2023-03-06,71
2023-03-07,86
2023-03-08,67
2023-03-09,80
2023-03-10,72
2023-03-11,39
2023-03-12,31
2023-03-13,75
2023-03-15,79
2023-03-16,57
2023-03-17,64
2023-03-18,41
2023-03-19,35
2023-03-20,72
2023-03-21,74
2023-03-22,78
2023-03-23,91
2023-03-24,85
2023-03-25,35
2023-03-26,45
2023-03-27,72
2023-03-28,84
2023-03-29,70
2023-03-30,93
2023-03-31,83
2023-04-01,31
2023-04-02,39
2023-04-03,72
2023-04-04,91
2023-04-05,73
2023-04-06,84
2023-04-07,55
2023-04-08,23
2023-04-09,35
2023-04-10,51
2023-04-11,71
2023-04-12,76
2023-04-13,67
2023-04-14,54
2023-04-15,35
2023-04-16,32
2023-04-17,63
2023-04-18,70
2023-04-19,61
2023-04-20,83
2023-04-21,54
2023-04-22,33
2023-04-23,40
2023-04-24,73
2023-04-25,60
2023-04-26,81
2023-04-27,64
2023-04-28,58
2023-04-29,31
2023-04-30,29
