date,value
2022-11-30,162
2022-12-01,165
2022-12-02,124
2022-12-03,75
2022-12-04,77
2022-12-05,146
2022-12-06,156
2022-12-07,123
2022-12-08,131
2022-12-09,119
2022-12-10,74
2022-12-11,83
2022-12-12,156
2022-12-13,152
2022-12-14,136
2022-12-15,147
2022-12-16,136
2022-12-17,70
2022-12-18,54
2022-12-19,103
2022-12-20,142
2022-12-21,123
2022-12-22,92
2022-12-23,85
2022-12-24,50
2022-12-25,45
2022-12-26,68
2022-12-27,88
2022-12-28,115
2022-12-29,100
2022-12-30,73
2022-12-31,41
2023-01-01,45
2023-01-02,98
2023-01-03,96
2023-01-04,112
2023-01-05,125
2023-01-06,92
2023-01-07,65
2023-01-08,59
2023-01-09,116
2023-01-10,122
2023-01-11,129
2023-01-12,147
2023-01-13,102
2023-01-14,49
2023-01-15,62
2023-01-16,105
2023-01-17,137
2023-01-18,128
2023-01-19,129
2023-01-20,107
2023-01-21,66
2023-01-22,49
2023-01-23,95
2023-01-24,96
2023-01-25,127
2023-01-26,111
2023-01-27,91
2023-01-28,46
2023-01-29,46
2023-01-30,119
2023-01-31,135
2023-02-01,128
2023-02-02,116
2023-02-03,102
2023-02-04,53
2023-02-05,63
2023-02-06,108
2023-02-07,114
2023-02-08,129
2023-02-09,122
2023-02-10,93
2023-02-11,55
2023-02-12,51
2023-02-13,103
2023-02-14,106
2023-02-15,101
2023-02-16,105
2023-02-17,88
2023-02-18,43
2023-02-19,47
2023-02-20,96
2023-02-21,100
2023-02-22,117
2023-02-23,109
2023-02-24,102
2023-02-25,47
2023-02-26,59
2023-02-27,92
2023-02-28,97
2023-03-01,123
2023-03-02,127
2023-03-03,110
2023-03-04,47
2023-03-05,55
2023-03-06,104
2023-03-07,100
2023-03-08,108
2023-03-09,97
2023-03-10,83
2023-03-11,44
2023-03-12,53
2023-03-13,69
2023-03-15,97
2023-03-16,99
2023-03-17,69
2023-03-18,39
2023-03-19,34
2023-03-20,90
2023-03-21,100
2023-03-22,83
2023-03-23,92
2023-03-24,79
2023-03-25,42
2023-03-26,39
2023-03-27,100
2023-03-28,100
2023-03-29,97
2023-03-30,91
2023-03-31,76
2023-04-01,35
2023-04-02,47
2023-04-03,73
2023-04-04,95
2023-04-05,89
2023-04-06,73
2023-04-07,63
2023-04-08,28
2023-04-09,36
2023-04-10,64
2023-04-11,88
2023-04-12,95
2023-04-13,70
2023-04-14,97
2023-04-15,34
2023-04-16,46
2023-04-17,67
2023-04-18,74
2023-04-19,75
2023-04-20,71
2023-04-21,65
2023-04-22,31
2023-04-23,36
2023-04-24,54
2023-04-25,85
2023-04-26,61
2023-04-27,73
2023-04-28,63
2023-04-29,33
2023-04-30,32
