date,value
2022-11-30,28
2022-12-01,44
2022-12-02,34
2022-12-03,15
2022-12-04,11
2022-12-05,31
2022-12-06,23
2022-12-07,20
2022-12-08,27
2022-12-09,30
2022-12-10,10
2022-12-11,11
2022-12-12,38
2022-12-13,34
2022-12-14,31
2022-12-15,29
2022-12-16,26
2022-12-17,13
2022-12-18,5
2022-12-19,29
2022-12-20,31
2022-12-21,32
2022-12-22,22
2022-12-23,8
2022-12-24,3
2022-12-25,6
2022-12-26,9
2022-12-27,16
2022-12-28,22
2022-12-29,13
2022-12-30,14
2022-12-31,8
2023-01-01,2
2023-01-02,13
2023-01-03,20
2023-01-04,24
2023-01-05,29
2023-01-06,21
2023-01-07,7
2023-01-08,12
2023-01-09,27
2023-01-10,24
2023-01-11,24
2023-01-12,17
2023-01-13,26
2023-01-14,9
2023-01-15,10
2023-01-16,20
2023-01-17,30
2023-01-18,27
2023-01-19,28
2023-01-20,25
2023-01-21,8
2023-01-22,13
2023-01-23,18
2023-01-24,20
2023-01-25,15
2023-01-26,17
2023-01-27,13
2023-01-28,7
2023-01-29,6
2023-01-30,36
2023-01-31,21
2023-02-01,32
2023-02-02,26
2023-02-03,22
2023-02-04,10
2023-02-05,17
2023-02-06,24
2023-02-07,29
2023-02-08,22
2023-02-09,24
2023-02-10,21
2023-02-11,5
2023-02-12,9
2023-02-13,22
2023-02-14,26
2023-02-15,20
2023-02-16,14
2023-02-17,23
2023-02-18,7
2023-02-19,12
2023-02-20,16
2023-02-21,32
2023-02-22,28
2023-02-23,20
2023-02-24,24
2023-02-25,14
2023-02-26,12
2023-02-27,29
2023-02-28,18
2023-03-01,30
2023-03-02,25
2023-03-03,24
2023-03-04,9
2023-03-05,3
2023-03-06,21
2023-03-07,21
2023-03-08,18
2023-03-09,26
2023-03-10,25
2023-03-11,5
2023-03-12,7
2023-03-13,23
2023-03-15,19
2023-03-16,30
2023-03-17,17
2023-03-18,6
2023-03-19,3
2023-03-20,23
2023-03-21,22
2023-03-22,29
2023-03-23,17
2023-03-24,14
2023-03-25,6
2023-03-26,10
2023-03-27,20
2023-03-28,25
2023-03-29,26
2023-03-30,32
2023-03-31,15
2023-04-01,8
2023-04-02,3
2023-04-03,22
2023-04-04,31
2023-04-05,14
2023-04-06,18
2023-04-07,16
2023-04-08,2
2023-04-09,2
2023-04-10,11
2023-04-11,25
2023-04-12,26
2023-04-13,21
2023-04-14,18
2023-04-15,8
2023-04-16,5
2023-04-17,18
2023-04-18,15
2023-04-19,16
2023-04-20,11
2023-04-21,22
2023-04-22,5
2023-04-23,11
2023-04-24,24
2023-04-25,21
2023-04-26,18
2023-04-27,16
2023-04-28,18
2023-04-29,5
2023-04-30,9
