date,value
2022-11-30,498
2022-12-01,524
2022-12-02,500
2022-12-03,315
2022-12-04,288
2022-12-05,473
2022-12-06,487
2022-12-07,541
2022-12-08,484
2022-12-09,449
2022-12-10,301
2022-12-11,310
2022-12-12,445
2022-12-13,503
2022-12-14,481
2022-12-15,469
2022-12-16,452
2022-12-17,289
2022-12-18,254
2022-12-19,455
2022-12-20,508
2022-12-21,539
2022-12-22,413
2022-12-23,393
2022-12-24,237
2022-12-25,231
2022-12-26,328
2022-12-27,422
2022-12-28,420
2022-12-29,428
2022-12-30,366
2022-12-31,228
2023-01-01,205
2023-01-02,351
2023-01-03,452
2023-01-04,481
2023-01-05,463
2023-01-06,407
2023-01-07,300
2023-01-08,303
2023-01-09,463
2023-01-10,482
2023-01-11,468
2023-01-12,455
2023-01-13,405
2023-01-14,281
2023-01-15,300
2023-01-16,427
2023-01-17,464
2023-01-18,476
2023-01-19,463
2023-01-20,397
2023-01-21,293
2023-01-22,282
2023-01-23,328
2023-01-24,455
2023-01-25,454
2023-01-26,413
2023-01-27,435
2023-01-28,297
2023-01-29,299
2023-01-30,492
2023-01-31,473
2023-02-01,443
2023-02-02,447
2023-02-03,437
2023-02-04,287
2023-02-05,276
2023-02-06,422
2023-02-07,428
2023-02-08,425
2023-02-09,488
2023-02-10,421
2023-02-11,253
2023-02-12,280
2023-02-13,377
2023-02-14,410
2023-02-15,421
2023-02-16,447
2023-02-17,405
2023-02-18,256
2023-02-19,274
2023-02-20,371
2023-02-21,432
2023-02-22,444
2023-02-23,427
2023-02-24,358
2023-02-25,275
2023-02-26,217
2023-02-27,388
2023-02-28,375
2023-03-01,407
2023-03-02,433
2023-03-03,363
2023-03-04,245
2023-03-05,218
2023-03-06,352
2023-03-07,397
2023-03-08,381
2023-03-09,417
2023-03-10,396
2023-03-11,250
2023-03-12,244
2023-03-13,386
2023-03-15,411
2023-03-16,402
2023-03-17,345
2023-03-18,224
2023-03-19,231
2023-03-20,348
2023-03-21,405
2023-03-22,398
2023-03-23,395
2023-03-24,383
2023-03-25,266
2023-03-26,246
2023-03-27,410
2023-03-28,427
2023-03-29,406
2023-03-30,393
2023-03-31,339
2023-04-01,233
2023-04-02,238
2023-04-03,332
2023-04-04,402
2023-04-05,404
2023-04-06,362
2023-04-07,297
2023-04-08,238
2023-04-09,225
2023-04-10,312
2023-04-11,324
2023-04-12,368
2023-04-13,377
2023-04-14,409
2023-04-15,265
2023-04-16,249
2023-04-17,405
2023-04-18,376
2023-04-19,418
2023-04-20,416
2023-04-21,288
2023-04-22,212
2023-04-23,230
2023-04-24,341
2023-04-25,348
2023-04-26,350
2023-04-27,377
2023-04-28,338
2023-04-29,228
2023-04-30,206
