date,value
2022-11-30,135
2022-12-01,135
2022-12-02,136
2022-12-03,63
2022-12-04,79
2022-12-05,125
2022-12-06,137
2022-12-07,151
2022-12-08,117
2022-12-09,131
2022-12-10,60
2022-12-11,74
2022-12-12,132
2022-12-13,145
2022-12-14,128
2022-12-15,120
2022-12-16,116
2022-12-17,59
2022-12-18,73
2022-12-19,111
2022-12-20,124
2022-12-21,153
2022-12-22,123
2022-12-23,98
2022-12-24,68
2022-12-25,43
2022-12-26,75
2022-12-27,104
2022-12-28,104
2022-12-29,105
2022-12-30,80
2022-12-31,54
2023-01-01,43
2023-01-02,89
2023-01-03,91
2023-01-04,152
2023-01-05,130
2023-01-06,123
2023-01-07,74
2023-01-08,88
2023-01-09,135
2023-01-10,125
2023-01-11,145
2023-01-12,122
2023-01-13,108
2023-01-14,66
2023-01-15,59
2023-01-16,130
2023-01-17,116
2023-01-18,134
2023-01-19,151
2023-01-20,105
2023-01-21,81
2023-01-22,69
2023-01-23,102
2023-01-24,121
2023-01-25,117
2023-01-26,116
2023-01-27,118
2023-01-28,71
2023-01-29,57
2023-01-30,118
2023-01-31,135
2023-02-01,124
2023-02-02,122
2023-02-03,108
2023-02-04,57
2023-02-05,69
2023-02-06,136
2023-02-07,120
2023-02-08,124
2023-02-09,140
2023-02-10,118
2023-02-11,53
2023-02-12,59
2023-02-13,109
2023-02-14,119
2023-02-15,135
2023-02-16,148
2023-02-17,126
2023-02-18,56
2023-02-19,64
2023-02-20,123
2023-02-21,122
2023-02-22,105
2023-02-23,121
2023-02-24,136
2023-02-25,78
2023-02-26,65
2023-02-27,126
2023-02-28,130
2023-03-01,130
2023-03-02,119
2023-03-03,119
2023-03-04,61
2023-03-05,54
2023-03-06,123
2023-03-07,127
2023-03-08,114
2023-03-09,119
2023-03-10,119
2023-03-11,56
2023-03-12,63
2023-03-13,106
2023-03-15,130
2023-03-16,135
2023-03-17,105
2023-03-18,68
2023-03-19,63
2023-03-20,101
2023-03-21,104
2023-03-22,107
2023-03-23,120
2023-03-24,102
2023-03-25,66
2023-03-26,70
2023-03-27,97
2023-03-28,107
2023-03-29,129
2023-03-30,107
2023-03-31,96
2023-04-01,55
2023-04-02,57
2023-04-03,100
2023-04-04,108
2023-04-05,120
2023-04-06,99
2023-04-07,75
2023-04-08,55
2023-04-09,54
2023-04-10,75
2023-04-11,102
2023-04-12,103
2023-04-13,127
2023-04-14,114
2023-04-15,49
2023-04-16,46
2023-04-17,94
2023-04-18,125
2023-04-19,127
2023-04-20,102
2023-04-21,94
2023-04-22,86
2023-04-23,46
2023-04-24,90
2023-04-25,94
2023-04-26,116
2023-04-27,100
2023-04-28,97
2023-04-29,48
2023-04-30,53
