date,number_questions,week_day
2022-12-02,4795,Friday
2023-01-22,2577,Sunday
2023-01-15,2502,Sunday
2022-12-08,4903,Thursday
2023-04-28,3540,Friday
2023-04-29,2007,Saturday
2023-04-30,1962,Sunday
2023-01-03,4204,Tuesday
2023-01-23,4299,Monday
2023-01-29,2612,Sunday
2023-01-30,4621,Monday
2023-01-12,5057,Thursday
2022-12-04,2944,Sunday
2023-04-01,2371,Saturday
2023-04-02,2301,Sunday
2023-04-03,3927,Monday
2023-04-04,4369,Tuesday
2023-04-05,4288,Wednesday
2022-12-20,4860,Tuesday
2023-03-01,4509,Wednesday
2023-03-02,4551,Thursday
2023-03-03,4070,Friday
2023-03-04,2336,Saturday
2022-12-23,3671,Friday
2023-03-10,4056,Friday
2023-03-11,2248,Saturday
2023-03-12,2427,Sunday
2023-03-13,4044,Monday
2023-01-05,4875,Thursday
2023-01-08,2662,Sunday
2022-12-07,5045,Wednesday
2023-01-11,4995,Wednesday
2023-01-16,4286,Monday
2022-12-03,2960,Saturday
2023-02-01,5008,Wednesday
2023-02-02,4760,Thursday
2023-02-03,4378,Friday
2023-02-04,2508,Saturday
2023-03-20,4029,Monday
2023-03-21,4126,Tuesday
2023-03-22,4261,Wednesday
2023-03-23,4573,Thursday
2023-03-24,4083,Friday
2022-12-16,4480,Friday
2023-03-25,2403,Saturday
2023-03-26,2472,Sunday
2023-03-27,4276,Monday
2023-03-28,4522,Tuesday
2023-04-06,4119,Thursday
2023-04-07,3247,Friday
2023-04-08,2227,Saturday
2023-04-09,2104,Sunday
2023-04-10,3389,Monday
2023-03-29,4724,Wednesday
2023-03-30,4490,Thursday
2023-03-31,4097,Friday
2023-01-17,4734,Tuesday
2023-01-19,4948,Thursday
2022-12-21,4841,Wednesday
2023-01-04,4733,Wednesday
2022-12-29,3998,Thursday
2023-01-01,1868,Sunday
2022-12-05,4994,Monday
2022-12-11,2913,Sunday
2023-03-05,2334,Sunday
2023-03-06,4037,Monday
2023-03-07,4448,Tuesday
2023-03-08,4117,Wednesday
2023-03-09,4565,Thursday
2022-12-31,2039,Saturday
2022-12-27,3738,Tuesday
2022-12-25,1899,Sunday
2022-12-13,5167,Tuesday
2022-12-01,5544,Thursday
2023-03-15,4495,Wednesday
2023-03-16,4372,Thursday
2023-03-17,3815,Friday
2023-03-18,2198,Saturday
2023-03-19,2254,Sunday
2023-01-25,4709,Wednesday
2022-12-24,2095,Saturday
2023-02-20,4194,Monday
2023-02-21,4527,Tuesday
2023-02-22,4776,Wednesday
2023-02-23,4671,Thursday
2023-02-24,4134,Friday
2022-12-19,4480,Monday
2022-12-22,4345,Thursday
2022-12-15,4954,Thursday
2022-12-17,2621,Saturday
2022-12-09,4285,Friday
2023-01-18,5029,Wednesday
2023-01-14,2440,Saturday
2023-01-07,2626,Saturday
2023-01-20,4038,Friday
2023-02-15,4685,Wednesday
2023-02-16,4741,Thursday
2023-02-17,4262,Friday
2023-02-18,2368,Saturday
2023-02-19,2538,Sunday
2022-12-12,5049,Monday
2022-12-06,5336,Tuesday
2023-04-11,4088,Tuesday
2023-04-12,4198,Wednesday
2023-04-13,4374,Thursday
2023-04-14,4241,Friday
2023-04-15,2535,Saturday
2023-02-05,2522,Sunday
2023-02-06,4424,Monday
2023-02-07,4813,Tuesday
2023-02-08,4951,Wednesday
2023-02-09,5026,Thursday
2023-02-25,2500,Saturday
2023-02-26,2332,Sunday
2023-02-27,4275,Monday
2023-02-28,4446,Tuesday
2022-12-26,3019,Monday
2022-12-30,3451,Friday
2023-04-16,2544,Sunday
2023-04-17,4335,Monday
2023-04-18,4567,Tuesday
2023-04-19,4670,Wednesday
2023-04-20,4522,Thursday
2023-02-10,4400,Friday
2023-02-11,2468,Saturday
2023-02-12,2424,Sunday
2023-02-13,4384,Monday
2023-02-14,4616,Tuesday
2023-01-27,4364,Friday
2023-01-26,4430,Thursday
2022-11-30,5411,Wednesday
2023-01-02,3506,Monday
2023-01-31,4893,Tuesday
2023-01-13,4425,Friday
2022-12-14,4997,Wednesday
2023-01-06,4165,Friday
2023-01-24,4624,Tuesday
2023-01-09,4490,Monday
2022-12-18,2390,Sunday
2023-01-10,4863,Tuesday
2023-01-21,2556,Saturday
2022-12-28,3846,Wednesday
2023-04-21,3516,Friday
2023-04-22,2056,Saturday
2023-04-23,2195,Sunday
2023-04-24,3829,Monday
2023-04-25,4017,Tuesday
2023-04-26,4015,Wednesday
2023-04-27,4000,Thursday
2023-01-28,2491,Saturday
2022-12-10,2807,Saturday
