date,number_comments,week_day
2022-09-17,6873,Saturday
2022-09-18,7116,Sunday
2022-09-19,11983,Monday
2022-09-20,12349,Tuesday
2022-11-01,11538,Tuesday
2022-11-02,13248,Wednesday
2022-11-03,12680,Thursday
2022-08-17,13831,Wednesday
2022-08-18,13615,Thursday
2022-08-19,11807,Friday
2022-11-04,12196,Friday
2022-11-05,7084,Saturday
2022-11-06,7652,Sunday
2022-10-05,12048,Wednesday
2022-10-06,13175,Thursday
2022-10-07,11781,Friday
2022-10-19,13920,Wednesday
2022-10-20,13805,Thursday
2022-10-21,11891,Friday
2022-09-10,6765,Saturday
2022-09-11,6702,Sunday
2022-09-12,12065,Monday
2022-09-13,12693,Tuesday
2022-08-07,7240,Sunday
2022-08-08,12946,Monday
2022-08-09,13290,Tuesday
2022-08-30,13243,Tuesday
2022-08-31,13340,Wednesday
2022-07-05,12235,Tuesday
2022-07-06,13549,Wednesday
2022-07-07,13235,Thursday
2022-09-01,12821,Thursday
2022-09-02,11635,Friday
2022-09-03,6380,Saturday
2022-08-01,12023,Monday
2022-08-02,13470,Tuesday
2022-08-03,13152,Wednesday
2022-11-10,12638,Thursday
2022-11-11,12143,Friday
2022-11-12,7186,Saturday
2022-11-13,7257,Sunday
2022-08-13,6991,Saturday
2022-08-14,7140,Sunday
2022-08-15,11505,Monday
2022-08-16,13624,Tuesday
2022-11-20,7426,Sunday
2022-11-21,12827,Monday
2022-11-22,13578,Tuesday
2022-10-08,6846,Saturday
2022-10-09,7069,Sunday
2022-10-10,12210,Monday
2022-10-11,12961,Tuesday
2022-07-01,8558,Friday
2022-07-02,5946,Saturday
2022-07-03,6589,Sunday
2022-07-04,10386,Monday
2022-08-10,13789,Wednesday
2022-08-11,13051,Thursday
2022-08-12,12439,Friday
2022-11-17,14208,Thursday
2022-11-18,12138,Friday
2022-11-19,7426,Saturday
2022-09-04,6914,Sunday
2022-09-05,11600,Monday
2022-09-06,13003,Tuesday
2022-10-01,6696,Saturday
2022-10-02,6903,Sunday
2022-10-03,11200,Monday
2022-10-04,11841,Tuesday
2022-07-12,13020,Tuesday
2022-07-13,13256,Wednesday
2022-07-14,13034,Thursday
2022-07-29,10907,Friday
2022-07-30,7719,Saturday
2022-07-31,7453,Sunday
2022-07-19,13859,Tuesday
2022-07-20,14111,Wednesday
2022-07-21,13812,Thursday
2022-07-22,12730,Friday
2022-07-23,7323,Saturday
2022-07-24,7261,Sunday
2022-07-25,13092,Monday
2022-10-12,12908,Wednesday
2022-10-13,11729,Thursday
2022-10-14,11596,Friday
2022-08-24,13914,Wednesday
2022-08-25,13587,Thursday
2022-08-26,11904,Friday
2022-09-24,6374,Saturday
2022-09-25,6607,Sunday
2022-09-26,11847,Monday
2022-09-27,12971,Tuesday
2022-10-29,6564,Saturday
2022-10-30,7079,Sunday
2022-10-31,11587,Monday
2022-08-27,6988,Saturday
2022-08-28,7044,Sunday
2022-08-29,12133,Monday
2022-07-26,13529,Tuesday
2022-07-27,13754,Wednesday
2022-07-28,13509,Thursday
2022-08-04,13046,Thursday
2022-08-05,12310,Friday
2022-08-06,7145,Saturday
2022-11-23,13124,Wednesday
2022-11-24,11925,Thursday
2022-11-25,10096,Friday
2022-09-14,13025,Wednesday
2022-09-15,13148,Thursday
2022-09-16,12170,Friday
2022-09-21,12420,Wednesday
2022-09-22,13053,Thursday
2022-09-23,11923,Friday
2022-11-26,6630,Saturday
2022-11-27,7314,Sunday
2022-11-28,12293,Monday
2022-11-29,12795,Tuesday
2022-07-15,11728,Friday
2022-07-16,6782,Saturday
2022-07-17,7089,Sunday
2022-07-18,13220,Monday
2022-11-14,12675,Monday
2022-11-15,13960,Tuesday
2022-11-16,14193,Wednesday
2022-10-26,13123,Wednesday
2022-10-27,12572,Thursday
2022-10-28,11493,Friday
2022-10-22,7072,Saturday
2022-10-23,7149,Sunday
2022-10-24,12426,Monday
2022-10-25,12526,Tuesday
2022-09-28,12809,Wednesday
2022-09-29,12797,Thursday
2022-09-30,11566,Friday
2022-10-15,7250,Saturday
2022-10-16,7139,Sunday
2022-10-17,12661,Monday
2022-10-18,13194,Tuesday
2022-08-20,6816,Saturday
2022-08-21,7262,Sunday
2022-08-22,12541,Monday
2022-08-23,13164,Tuesday
2022-07-08,11771,Friday
2022-07-09,6457,Saturday
2022-07-10,6779,Sunday
2022-07-11,12625,Monday
2022-09-07,13574,Wednesday
2022-09-08,12764,Thursday
2022-09-09,11946,Friday
2022-11-07,12890,Monday
2022-11-08,13647,Tuesday
2022-11-09,13164,Wednesday
