date,value
2022-07-01,168
2022-07-02,112
2022-07-03,97
2022-07-04,170
2022-07-05,163
2022-07-06,193
2022-07-07,150
2022-07-08,166
2022-07-09,86
2022-07-10,85
2022-07-11,176
2022-07-12,168
2022-07-13,156
2022-07-14,192
2022-07-15,136
2022-07-16,89
2022-07-17,88
2022-07-18,180
2022-07-19,205
2022-07-20,204
2022-07-21,164
2022-07-22,163
2022-07-23,113
2022-07-24,115
2022-07-25,143
2022-07-26,169
2022-07-27,176
2022-07-28,180
2022-07-29,132
2022-07-30,109
2022-07-31,112
2022-08-01,188
2022-08-02,194
2022-08-03,180
2022-08-04,161
2022-08-05,154
2022-08-06,114
2022-08-07,113
2022-08-08,149
2022-08-09,166
2022-08-10,193
2022-08-11,158
2022-08-12,162
2022-08-13,104
2022-08-14,111
2022-08-15,174
2022-08-16,202
2022-08-17,192
2022-08-18,192
2022-08-19,187
2022-08-20,88
2022-08-21,99
2022-08-22,187
2022-08-23,173
2022-08-24,176
2022-08-25,198
2022-08-26,161
2022-08-27,111
2022-08-28,111
2022-08-29,161
2022-08-30,206
2022-08-31,181
2022-09-01,177
2022-09-02,160
2022-09-03,105
2022-09-04,122
2022-09-05,167
2022-09-06,166
2022-09-07,166
2022-09-08,176
2022-09-09,146
2022-09-10,95
2022-09-11,78
2022-09-12,155
2022-09-13,146
2022-09-14,162
2022-09-15,152
2022-09-16,145
2022-09-17,91
2022-09-18,88
2022-09-19,148
2022-09-20,164
2022-09-21,147
2022-09-22,171
2022-09-23,143
2022-09-24,106
2022-09-25,108
2022-09-26,160
2022-09-27,171
2022-09-28,167
2022-09-29,172
2022-09-30,160
2022-10-01,101
2022-10-02,93
2022-10-03,149
2022-10-04,158
2022-10-05,130
2022-10-06,178
2022-10-07,154
2022-10-08,111
2022-10-09,118
2022-10-10,137
2022-10-11,160
2022-10-12,162
2022-10-13,151
2022-10-14,169
2022-10-15,109
2022-10-16,108
2022-10-17,165
2022-10-18,174
2022-10-19,179
2022-10-20,179
2022-10-21,157
2022-10-22,106
2022-10-23,91
2022-10-24,157
2022-10-25,160
2022-10-26,163
2022-10-27,186
2022-10-28,147
2022-10-29,85
2022-10-30,102
2022-10-31,187
2022-11-01,143
2022-11-02,172
2022-11-03,160
2022-11-04,121
2022-11-05,106
2022-11-06,115
2022-11-07,171
2022-11-08,179
2022-11-09,178
2022-11-10,173
2022-11-11,153
2022-11-12,110
2022-11-13,103
2022-11-14,139
2022-11-15,176
2022-11-16,177
2022-11-17,167
2022-11-18,160
2022-11-19,99
2022-11-20,100
2022-11-21,160
2022-11-22,163
2022-11-23,187
2022-11-24,168
2022-11-25,128
2022-11-26,99
2022-11-27,97
2022-11-28,156
2022-11-29,153
