date,value
2022-07-01,82
2022-07-02,54
2022-07-03,57
2022-07-04,86
2022-07-05,87
2022-07-06,76
2022-07-07,100
2022-07-08,56
2022-07-09,53
2022-07-10,57
2022-07-11,93
2022-07-12,68
2022-07-13,89
2022-07-14,102
2022-07-15,91
2022-07-16,88
2022-07-17,66
2022-07-18,83
2022-07-19,113
2022-07-20,112
2022-07-21,96
2022-07-22,91
2022-07-23,66
2022-07-24,60
2022-07-25,77
2022-07-26,100
2022-07-27,102
2022-07-28,85
2022-07-29,74
2022-07-30,50
2022-07-31,67
2022-08-01,68
2022-08-02,92
2022-08-03,102
2022-08-04,81
2022-08-05,83
2022-08-06,53
2022-08-07,43
2022-08-08,82
2022-08-09,108
2022-08-10,99
2022-08-11,83
2022-08-12,76
2022-08-13,57
2022-08-14,60
2022-08-15,71
2022-08-16,66
2022-08-17,84
2022-08-18,83
2022-08-19,79
2022-08-20,63
2022-08-21,58
2022-08-22,79
2022-08-23,102
2022-08-24,83
2022-08-25,96
2022-08-26,77
2022-08-27,62
2022-08-28,55
2022-08-29,89
2022-08-30,76
2022-08-31,80
2022-09-01,69
2022-09-02,76
2022-09-03,54
2022-09-04,59
2022-09-05,64
2022-09-06,94
2022-09-07,78
2022-09-08,88
2022-09-09,84
2022-09-10,60
2022-09-11,48
2022-09-12,89
2022-09-13,74
2022-09-14,78
2022-09-15,99
2022-09-16,69
2022-09-17,70
2022-09-18,62
2022-09-19,73
2022-09-20,78
2022-09-21,74
2022-09-22,83
2022-09-23,71
2022-09-24,48
2022-09-25,69
2022-09-26,77
2022-09-27,83
2022-09-28,88
2022-09-29,82
2022-09-30,79
2022-10-01,45
2022-10-02,47
2022-10-03,75
2022-10-04,72
2022-10-05,76
2022-10-06,70
2022-10-07,63
2022-10-08,56
2022-10-09,47
2022-10-10,95
2022-10-11,65
2022-10-12,67
2022-10-13,78
2022-10-14,74
2022-10-15,42
2022-10-16,61
2022-10-17,69
2022-10-18,87
2022-10-19,99
2022-10-20,89
2022-10-21,89
2022-10-22,52
2022-10-23,58
2022-10-24,75
2022-10-25,84
2022-10-26,70
2022-10-27,90
2022-10-28,63
2022-10-29,53
2022-10-30,54
2022-10-31,76
2022-11-01,90
2022-11-02,75
2022-11-03,78
2022-11-04,68
2022-11-05,58
2022-11-06,62
2022-11-07,77
2022-11-08,74
2022-11-09,74
2022-11-10,85
2022-11-11,87
2022-11-12,48
2022-11-13,58
2022-11-14,74
2022-11-15,74
2022-11-16,96
2022-11-17,88
2022-11-18,79
2022-11-19,53
2022-11-20,49
2022-11-21,72
2022-11-22,70
2022-11-23,76
2022-11-24,75
2022-11-25,66
2022-11-26,52
2022-11-27,68
2022-11-28,97
2022-11-29,96
