date,value
2022-07-01,14
2022-07-02,8
2022-07-03,11
2022-07-04,15
2022-07-05,24
2022-07-06,15
2022-07-07,22
2022-07-08,15
2022-07-09,7
2022-07-10,6
2022-07-11,17
2022-07-12,27
2022-07-13,28
2022-07-14,21
2022-07-15,23
2022-07-16,0
2022-07-17,15
2022-07-18,30
2022-07-19,30
2022-07-20,27
2022-07-21,20
2022-07-22,22
2022-07-23,9
2022-07-24,3
2022-07-25,24
2022-07-26,21
2022-07-27,28
2022-07-28,14
2022-07-29,10
2022-07-30,7
2022-07-31,11
2022-08-01,11
2022-08-02,21
2022-08-03,23
2022-08-04,17
2022-08-05,14
2022-08-06,7
2022-08-07,11
2022-08-08,14
2022-08-09,25
2022-08-10,22
2022-08-11,25
2022-08-12,30
2022-08-13,6
2022-08-14,13
2022-08-15,22
2022-08-16,28
2022-08-17,27
2022-08-18,20
2022-08-19,22
2022-08-20,7
2022-08-21,9
2022-08-22,21
2022-08-23,26
2022-08-24,23
2022-08-25,18
2022-08-26,21
2022-08-27,9
2022-08-28,11
2022-08-29,16
2022-08-30,20
2022-08-31,21
2022-09-01,12
2022-09-02,20
2022-09-03,11
2022-09-04,9
2022-09-05,12
2022-09-06,21
2022-09-07,17
2022-09-08,14
2022-09-09,8
2022-09-10,9
2022-09-11,13
2022-09-12,22
2022-09-13,22
2022-09-14,28
2022-09-15,28
2022-09-16,12
2022-09-17,13
2022-09-18,8
2022-09-19,18
2022-09-20,13
2022-09-21,19
2022-09-22,25
2022-09-23,19
2022-09-24,6
2022-09-25,11
2022-09-26,17
2022-09-27,25
2022-09-28,20
2022-09-29,23
2022-09-30,20
2022-10-01,7
2022-10-02,10
2022-10-03,16
2022-10-04,26
2022-10-05,30
2022-10-06,24
2022-10-07,12
2022-10-08,13
2022-10-09,18
2022-10-10,16
2022-10-11,21
2022-10-12,16
2022-10-13,31
2022-10-14,18
2022-10-15,10
2022-10-16,13
2022-10-17,25
2022-10-18,22
2022-10-19,28
2022-10-20,19
2022-10-21,20
2022-10-22,13
2022-10-23,10
2022-10-24,28
2022-10-25,20
2022-10-26,32
2022-10-27,18
2022-10-28,23
2022-10-29,7
2022-10-30,9
2022-10-31,23
2022-11-01,11
2022-11-02,31
2022-11-03,14
2022-11-04,30
2022-11-05,12
2022-11-06,18
2022-11-07,17
2022-11-08,24
2022-11-09,28
2022-11-10,28
2022-11-11,22
2022-11-12,17
2022-11-13,12
2022-11-14,16
2022-11-15,15
2022-11-16,16
2022-11-17,22
2022-11-18,18
2022-11-19,16
2022-11-20,12
2022-11-21,21
2022-11-22,18
2022-11-23,25
2022-11-24,14
2022-11-25,25
2022-11-26,11
2022-11-27,10
2022-11-28,16
2022-11-29,26
