date,value
2022-07-01,27
2022-07-02,4
2022-07-03,12
2022-07-04,26
2022-07-05,24
2022-07-06,23
2022-07-07,39
2022-07-08,18
2022-07-09,7
2022-07-10,6
2022-07-11,30
2022-07-12,29
2022-07-13,26
2022-07-14,26
2022-07-15,20
2022-07-16,12
2022-07-17,13
2022-07-18,30
2022-07-19,32
2022-07-20,23
2022-07-21,27
2022-07-22,24
2022-07-23,7
2022-07-24,7
2022-07-25,34
2022-07-26,28
2022-07-27,29
2022-07-28,29
2022-07-29,25
2022-07-30,15
2022-07-31,7
2022-08-01,31
2022-08-02,32
2022-08-03,22
2022-08-04,28
2022-08-05,27
2022-08-06,11
2022-08-07,8
2022-08-08,33
2022-08-09,31
2022-08-10,29
2022-08-11,35
2022-08-12,28
2022-08-13,10
2022-08-14,10
2022-08-15,20
2022-08-16,25
2022-08-17,27
2022-08-18,29
2022-08-19,21
2022-08-20,9
2022-08-21,5
2022-08-22,23
2022-08-23,30
2022-08-24,37
2022-08-25,30
2022-08-26,21
2022-08-27,12
2022-08-28,8
2022-08-29,21
2022-08-30,28
2022-08-31,24
2022-09-01,25
2022-09-02,19
2022-09-03,7
2022-09-04,10
2022-09-05,21
2022-09-06,32
2022-09-07,19
2022-09-08,27
2022-09-09,25
2022-09-10,6
2022-09-11,8
2022-09-12,31
2022-09-13,26
2022-09-14,32
2022-09-15,22
2022-09-16,19
2022-09-17,11
2022-09-18,6
2022-09-19,17
2022-09-20,29
2022-09-21,16
2022-09-22,32
2022-09-23,19
2022-09-24,5
2022-09-25,9
2022-09-26,30
2022-09-27,29
2022-09-28,20
2022-09-29,20
2022-09-30,23
2022-10-01,7
2022-10-02,9
2022-10-03,19
2022-10-04,32
2022-10-05,32
2022-10-06,34
2022-10-07,30
2022-10-08,16
2022-10-09,12
2022-10-10,30
2022-10-11,40
2022-10-12,21
2022-10-13,24
2022-10-14,25
2022-10-15,9
2022-10-16,8
2022-10-17,29
2022-10-18,37
2022-10-19,35
2022-10-20,19
2022-10-21,28
2022-10-22,12
2022-10-23,8
2022-10-24,18
2022-10-25,21
2022-10-26,23
2022-10-27,24
2022-10-28,21
2022-10-29,5
2022-10-30,6
2022-10-31,26
2022-11-01,26
2022-11-02,29
2022-11-03,24
2022-11-04,35
2022-11-05,6
2022-11-06,4
2022-11-07,28
2022-11-08,25
2022-11-09,30
2022-11-10,31
2022-11-11,22
2022-11-12,10
2022-11-13,6
2022-11-14,32
2022-11-15,31
2022-11-16,32
2022-11-17,33
2022-11-18,27
2022-11-19,10
2022-11-20,8
2022-11-21,26
2022-11-22,37
2022-11-23,25
2022-11-24,25
2022-11-25,24
2022-11-26,11
2022-11-27,11
2022-11-28,27
2022-11-29,30
