date,value
2022-07-01,115
2022-07-02,85
2022-07-03,77
2022-07-04,93
2022-07-05,136
2022-07-06,118
2022-07-07,122
2022-07-08,111
2022-07-09,66
2022-07-10,69
2022-07-11,125
2022-07-12,113
2022-07-13,95
2022-07-14,115
2022-07-15,123
2022-07-16,81
2022-07-17,69
2022-07-18,109
2022-07-19,113
2022-07-20,117
2022-07-21,133
2022-07-22,98
2022-07-23,86
2022-07-24,100
2022-07-25,111
2022-07-26,131
2022-07-27,127
2022-07-28,133
2022-07-29,101
2022-07-30,84
2022-07-31,87
2022-08-01,102
2022-08-02,109
2022-08-03,110
2022-08-04,120
2022-08-05,112
2022-08-06,93
2022-08-07,81
2022-08-08,115
2022-08-09,118
2022-08-10,125
2022-08-11,98
2022-08-12,118
2022-08-13,77
2022-08-14,75
2022-08-15,108
2022-08-16,119
2022-08-17,126
2022-08-18,116
2022-08-19,129
2022-08-20,76
2022-08-21,83
2022-08-22,99
2022-08-23,115
2022-08-24,128
2022-08-25,118
2022-08-26,124
2022-08-27,82
2022-08-28,54
2022-08-29,102
2022-08-30,93
2022-08-31,103
2022-09-01,116
2022-09-02,111
2022-09-03,89
2022-09-04,68
2022-09-05,103
2022-09-06,103
2022-09-07,131
2022-09-08,112
2022-09-09,109
2022-09-10,67
2022-09-11,70
2022-09-12,87
2022-09-13,111
2022-09-14,122
2022-09-15,132
2022-09-16,120
2022-09-17,99
2022-09-18,79
2022-09-19,108
2022-09-20,102
2022-09-21,128
2022-09-22,103
2022-09-23,108
2022-09-24,78
2022-09-25,69
2022-09-26,116
2022-09-27,93
2022-09-28,113
2022-09-29,111
2022-09-30,111
2022-10-01,66
2022-10-02,88
2022-10-03,97
2022-10-04,108
2022-10-05,83
2022-10-06,117
2022-10-07,129
2022-10-08,88
2022-10-09,78
2022-10-10,115
2022-10-11,117
2022-10-12,141
2022-10-13,105
2022-10-14,99
2022-10-15,96
2022-10-16,83
2022-10-17,129
2022-10-18,123
2022-10-19,127
2022-10-20,121
2022-10-21,110
2022-10-22,75
2022-10-23,80
2022-10-24,108
2022-10-25,103
2022-10-26,151
2022-10-27,101
2022-10-28,109
2022-10-29,68
2022-10-30,73
2022-10-31,102
2022-11-01,89
2022-11-02,120
2022-11-03,126
2022-11-04,139
2022-11-05,85
2022-11-06,84
2022-11-07,149
2022-11-08,115
2022-11-09,114
2022-11-10,121
2022-11-11,104
2022-11-12,97
2022-11-13,85
2022-11-14,112
2022-11-15,150
2022-11-16,134
2022-11-17,122
2022-11-18,108
2022-11-19,78
2022-11-20,86
2022-11-21,109
2022-11-22,118
2022-11-23,122
2022-11-24,105
2022-11-25,99
2022-11-26,62
2022-11-27,92
2022-11-28,118
2022-11-29,118
