date,value
2022-07-01,45
2022-07-02,44
2022-07-03,43
2022-07-04,53
2022-07-05,43
2022-07-06,59
2022-07-07,70
2022-07-08,51
2022-07-09,33
2022-07-10,31
2022-07-11,40
2022-07-12,44
2022-07-13,40
2022-07-14,58
2022-07-15,47
2022-07-16,38
2022-07-17,41
2022-07-18,52
2022-07-19,44
2022-07-20,49
2022-07-21,49
2022-07-22,55
2022-07-23,51
2022-07-24,48
2022-07-25,42
2022-07-26,63
2022-07-27,39
2022-07-28,46
2022-07-29,59
2022-07-30,54
2022-07-31,49
2022-08-01,51
2022-08-02,56
2022-08-03,51
2022-08-04,44
2022-08-05,49
2022-08-06,49
2022-08-07,40
2022-08-08,53
2022-08-09,59
2022-08-10,57
2022-08-11,60
2022-08-12,48
2022-08-13,40
2022-08-14,37
2022-08-15,38
2022-08-16,46
2022-08-17,52
2022-08-18,49
2022-08-19,60
2022-08-20,33
2022-08-21,43
2022-08-22,49
2022-08-23,56
2022-08-24,55
2022-08-25,60
2022-08-26,52
2022-08-27,47
2022-08-28,35
2022-08-29,37
2022-08-30,49
2022-08-31,47
2022-09-01,44
2022-09-02,66
2022-09-03,47
2022-09-04,47
2022-09-05,61
2022-09-06,40
2022-09-07,55
2022-09-08,65
2022-09-09,59
2022-09-10,42
2022-09-11,43
2022-09-12,63
2022-09-13,44
2022-09-14,48
2022-09-15,67
2022-09-16,76
2022-09-17,52
2022-09-18,48
2022-09-19,56
2022-09-20,53
2022-09-21,51
2022-09-22,66
2022-09-23,61
2022-09-24,49
2022-09-25,53
2022-09-26,60
2022-09-27,62
2022-09-28,44
2022-09-29,62
2022-09-30,51
2022-10-01,60
2022-10-02,46
2022-10-03,69
2022-10-04,56
2022-10-05,64
2022-10-06,66
2022-10-07,65
2022-10-08,66
2022-10-09,72
2022-10-10,69
2022-10-11,60
2022-10-12,72
2022-10-13,68
2022-10-14,67
2022-10-15,70
2022-10-16,45
2022-10-17,67
2022-10-18,85
2022-10-19,68
2022-10-20,77
2022-10-21,62
2022-10-22,58
2022-10-23,53
2022-10-24,70
2022-10-25,68
2022-10-26,75
2022-10-27,84
2022-10-28,56
2022-10-29,56
2022-10-30,44
2022-10-31,65
2022-11-01,77
2022-11-02,56
2022-11-03,82
2022-11-04,75
2022-11-05,63
2022-11-06,61
2022-11-07,89
2022-11-08,63
2022-11-09,83
2022-11-10,61
2022-11-11,71
2022-11-12,87
2022-11-13,56
2022-11-14,71
2022-11-15,77
2022-11-16,74
2022-11-17,84
2022-11-18,61
2022-11-19,70
2022-11-20,61
2022-11-21,72
2022-11-22,71
2022-11-23,76
2022-11-24,90
2022-11-25,77
2022-11-26,75
2022-11-27,72
2022-11-28,61
2022-11-29,79
