date,value
2022-07-01,65
2022-07-02,39
2022-07-03,48
2022-07-04,74
2022-07-05,76
2022-07-06,76
2022-07-07,68
2022-07-08,72
2022-07-09,34
2022-07-10,32
2022-07-11,68
2022-07-12,70
2022-07-13,65
2022-07-14,76
2022-07-15,74
2022-07-16,52
2022-07-17,49
2022-07-18,61
2022-07-19,101
2022-07-20,93
2022-07-21,75
2022-07-22,68
2022-07-23,50
2022-07-24,61
2022-07-25,57
2022-07-26,97
2022-07-27,95
2022-07-28,73
2022-07-29,70
2022-07-30,69
2022-07-31,67
2022-08-01,84
2022-08-02,69
2022-08-03,61
2022-08-04,84
2022-08-05,63
2022-08-06,47
2022-08-07,42
2022-08-08,73
2022-08-09,56
2022-08-10,86
2022-08-11,75
2022-08-12,82
2022-08-13,57
2022-08-14,48
2022-08-15,69
2022-08-16,67
2022-08-17,85
2022-08-18,85
2022-08-19,75
2022-08-20,59
2022-08-21,64
2022-08-22,75
2022-08-23,85
2022-08-24,71
2022-08-25,65
2022-08-26,69
2022-08-27,63
2022-08-28,50
2022-08-29,68
2022-08-30,71
2022-08-31,63
2022-09-01,80
2022-09-02,61
2022-09-03,43
2022-09-04,38
2022-09-05,65
2022-09-06,79
2022-09-07,58
2022-09-08,60
2022-09-09,63
2022-09-10,46
2022-09-11,39
2022-09-12,77
2022-09-13,60
2022-09-14,63
2022-09-15,73
2022-09-16,73
2022-09-17,50
2022-09-18,42
2022-09-19,43
2022-09-20,85
2022-09-21,64
2022-09-22,53
2022-09-23,55
2022-09-24,49
2022-09-25,42
2022-09-26,68
2022-09-27,76
2022-09-28,70
2022-09-29,86
2022-09-30,58
2022-10-01,50
2022-10-02,43
2022-10-03,54
2022-10-04,67
2022-10-05,59
2022-10-06,66
2022-10-07,74
2022-10-08,48
2022-10-09,41
2022-10-10,77
2022-10-11,68
2022-10-12,75
2022-10-13,62
2022-10-14,55
2022-10-15,73
2022-10-16,51
2022-10-17,75
2022-10-18,78
2022-10-19,81
2022-10-20,71
2022-10-21,61
2022-10-22,54
2022-10-23,45
2022-10-24,65
2022-10-25,66
2022-10-26,59
2022-10-27,82
2022-10-28,56
2022-10-29,55
2022-10-30,43
2022-10-31,82
2022-11-01,83
2022-11-02,80
2022-11-03,56
2022-11-04,72
2022-11-05,48
2022-11-06,55
2022-11-07,79
2022-11-08,76
2022-11-09,76
2022-11-10,71
2022-11-11,75
2022-11-12,58
2022-11-13,54
2022-11-14,82
2022-11-15,87
2022-11-16,86
2022-11-17,79
2022-11-18,68
2022-11-19,71
2022-11-20,66
2022-11-21,61
2022-11-22,78
2022-11-23,72
2022-11-24,80
2022-11-25,63
2022-11-26,39
2022-11-27,39
2022-11-28,66
2022-11-29,66
