date,value
2022-07-01,132
2022-07-02,80
2022-07-03,87
2022-07-04,125
2022-07-05,148
2022-07-06,163
2022-07-07,160
2022-07-08,137
2022-07-09,65
2022-07-10,70
2022-07-11,164
2022-07-12,151
2022-07-13,169
2022-07-14,151
2022-07-15,156
2022-07-16,62
2022-07-17,77
2022-07-18,165
2022-07-19,174
2022-07-20,188
2022-07-21,180
2022-07-22,176
2022-07-23,94
2022-07-24,72
2022-07-25,185
2022-07-26,178
2022-07-27,192
2022-07-28,182
2022-07-29,148
2022-07-30,73
2022-07-31,78
2022-08-01,126
2022-08-02,180
2022-08-03,175
2022-08-04,182
2022-08-05,143
2022-08-06,63
2022-08-07,80
2022-08-08,172
2022-08-09,195
2022-08-10,138
2022-08-11,155
2022-08-12,181
2022-08-13,67
2022-08-14,71
2022-08-15,136
2022-08-16,196
2022-08-17,195
2022-08-18,181
2022-08-19,141
2022-08-20,67
2022-08-21,83
2022-08-22,149
2022-08-23,167
2022-08-24,189
2022-08-25,171
2022-08-26,135
2022-08-27,71
2022-08-28,73
2022-08-29,124
2022-08-30,156
2022-08-31,175
2022-09-01,136
2022-09-02,131
2022-09-03,88
2022-09-04,66
2022-09-05,105
2022-09-06,151
2022-09-07,126
2022-09-08,124
2022-09-09,127
2022-09-10,76
2022-09-11,81
2022-09-12,172
2022-09-13,156
2022-09-14,180
2022-09-15,176
2022-09-16,153
2022-09-17,93
2022-09-18,66
2022-09-19,174
2022-09-20,160
2022-09-21,166
2022-09-22,154
2022-09-23,136
2022-09-24,84
2022-09-25,89
2022-09-26,143
2022-09-27,186
2022-09-28,168
2022-09-29,187
2022-09-30,160
2022-10-01,80
2022-10-02,94
2022-10-03,162
2022-10-04,166
2022-10-05,191
2022-10-06,191
2022-10-07,175
2022-10-08,86
2022-10-09,104
2022-10-10,150
2022-10-11,161
2022-10-12,179
2022-10-13,179
2022-10-14,176
2022-10-15,89
2022-10-16,94
2022-10-17,174
2022-10-18,179
2022-10-19,197
2022-10-20,189
2022-10-21,183
2022-10-22,72
2022-10-23,71
2022-10-24,172
2022-10-25,166
2022-10-26,196
2022-10-27,186
2022-10-28,159
2022-10-29,83
2022-10-30,87
2022-10-31,140
2022-11-01,145
2022-11-02,179
2022-11-03,180
2022-11-04,180
2022-11-05,85
2022-11-06,105
2022-11-07,171
2022-11-08,202
2022-11-09,205
2022-11-10,204
2022-11-11,176
2022-11-12,103
2022-11-13,94
2022-11-14,158
2022-11-15,165
2022-11-16,179
2022-11-17,201
2022-11-18,172
2022-11-19,97
2022-11-20,95
2022-11-21,164
2022-11-22,188
2022-11-23,165
2022-11-24,139
2022-11-25,154
2022-11-26,83
2022-11-27,83
2022-11-28,162
2022-11-29,239
