Question ID,Open Context,,,,Question,,Closes Context,Original Answer,,,,
,Context Adequacy,External Reference,No Textual Content,Illustrative Context,Question Goal,Domain,Tag Concordance,No Textual Content,External Reference,Illustrative Context,Asked GPT,Shared Answer
75934861,Shalow,,,,Explanation,Networking,Medium,,,,Yes,No
75045425,Shalow,,,,Question,Tools/IDEs,Medium,,,,Yes,Yes
76080366,Medium,,,Code/Error Message,Explanation,Programming Languages,Medium,,,,Yes,Yes
75662251,Medium,,,Code,Question,Framework/API/Library,Strong,,,,Yes,No
74879745,Shalow,,,Code,Question,Programming Languages,,,,,Yes,No
75727385,Medium,,,Code,Question,Framework/API/Library,,,,,Yes,No
75569828,Medium,,,,Question,Framework/API/Library,Medium,,,,Yes,No
75605176,Shalow,,,Code,Question,Programming Languages,Medium,,,,Yes,No
75851030,Medium,,,Code/Error Message,Question,Programming Languages,Strong,,,,Yes,No
75864529,Shalow,,,Code,Explanation,Web development,Weak,,,,Yes,No
75882105,Shalow,,,,Question,Framework/API/Library,Weak,,,,Yes,No
75792570,Medium,,,Code/ Expected Outcome,Question,Programming Languages,Strong,,,Code,Yes,No
75592494,Strong,,,Code/ Expected Outcome,Question,Framework/API/Library,Medium,,Documentation/External Link,Code,,
75995416,Strong,,,Code,Question,Database/SQL,Medium,,,,Yes,Yes
76008618,Shalow,,,,Question,Other,,,,,No,No
75921184,Medium,,,,Explanation,Tools/IDEs,Strong,,,,Yes,No
75777122,Medium,External Link,,Code/Error Message,Explanation,Framework/API/Library,Weak,,,,Yes,No
75882660,Medium,,,Code,Question,Framework/API/Library,Weak,,,,Yes,Yes
75907121,Shalow,,,Code/Error Message,Question,Framework/API/Library,Strong,,,,Yes,Yes
76063343,Shalow,,,Code/ Expected Outcome,Question,Programming Languages,Medium,,,,Yes,No
75900409,Shalow,,,Code,Question,Framework/API/Library,,,,,Yes,No
75176667,Medium,,,Code/Error Message,Explanation,Framework/API/Library,Strong,Image,,Code,No,No
75968515,Shalow,,,Code/Error Message,Question,Programming Languages,,,,,Yes,No
75846111,Medium,External Link,,Code,Explanation,Web development,Strong,,,,No,No
75468495,Medium,External Link,,Code,Question,Tools/IDEs,Medium,,,,Yes,Yes
