Cosine Metric,,Question ID,Open Context,,,,Question,Domain,Closes Context,Original Answer,,
,,,Context Adequacy,External Reference,No Textual Content,Illustrative Context,Question Goal,"",Tag Concordance,No Textual Content,External Reference,Illustrative Context
"-13.968.981.802.463.500,00",,75727923,Strong,,,Code,Open,Framework/Library,Strong,,,Code
"-9.558.804.333.209.990,00",,74227793,Medium,Documentation,,Code,Question,Framework/Library,Strong,,,
"-42.690.977.454.185.400,00",,73556146,Strong,,,Code,Question,Framework/Library,Medium,,Documentation,Code
"-5.669.223.517.179.480,00",,74591448,Strong,,,Code,Question,Programming Languages,Medium,,,Code
"12.179.408.222.436.900,00",,74405746,Strong,,,Code,Question,Mobile,Medium,,Documentation,Code
"13.287.805.020.809.100,00",,74606136,Medium,,Image,Code,Question,Database/SQL,Strong,,,Code
"22.445.114.329.457.200,00",,75726570,Strong,,,Code/Error Message,Question,DevOps,Strong,,,
"30.099.499.970.674.500,00",,73760219,Medium,,Image,Code,Question,Tools/IDEs,Weak,,,
"10.006.662.458.181.300,00",,74639660,Medium,,,,Question,Framework/Library,Strong,,,
"11.444.850.265.979.700,00",,74543810,Strong,,,Code,Open,Tools/IDEs,Weak,,,
"1.552.819.311.618.800,00",,75621833,Strong,,,Code/Error Message,Open,Framework/Library,Strong,,,Code
"15.756.598.114.967.300,00",,74746284,Strong,,Image,Code,Question,Framework/Library,Strong,,,
"16.390.135.884.284.900,00",,75258460,Medium,Documentation,,Code,Open,Framework/Library,Strong,,Documentation,Code
"18.498.072.028.160.000,00",,73354302,Strong,External Link,,Code,Open,Framework/Library,Strong,,,
"1.974.657.028.913.490,00",,75950803,Medium,,,Code/Error Message,Question,Programming Languages,Medium,,,
"2.062.646.746.635.430,00",,74086321,Strong,,Image,Code,Question,Web development,Strong,,,
"21.129.603.683.948.500,00",After,75897290,Medium,,,Code/Error Message,Open,Framework/Library,Medium,,Documentation,
"21.527.326.107.025.100,00",Before,74652347,Medium,,Image,Code/Error Message,Question,Tools/IDEs,Strong,,Documentation,
"22.271.931.171.417.200,00",Before,74910981,Medium,,Image,Error message,Question,Tools/IDEs,Strong,,,
"22.608.831.524.848.900,00",Before,73535528,Medium,,,Code/Error Message,Question,Programming Languages,Weak,,External Link,
"25.708.749.890.327.400,00",Before,74016253,Medium,,,Code,Question,Database/SQL,Medium,,Documentation,Code
"2.747.443.914.413.450,00",Before,73531936,Strong,Another SO question,,Code/Error Message,Question,Framework/Library,Strong,,,Code
"28.239.282.965.660.000,00",Before,73211933,Medium,,,,Question,Networking,Strong,,External Link,
"2.886.195.778.846.740,00",After,75698936,Strong,Documentation,,Code/Error Message,Question,Framework/Library,Medium,,Documentation,
"28.959.083.557.128.900,00",After,75035488,Shalow,,,Code/Error Message,Question,Framework/Library,Strong,,,
"28.960.120.677.948,00",After,74844325,Medium,,,Error message,Questions,DevOps,Weak,Image,,
"29.248.547.554.016.100,00",After,75689998,Medium,,,Code/Error Message,Open,Framework/Library,Strong,,,Code
"3.058.530.390.262.600,00",Before,74387517,Shalow,,Image,,Open,Framework/Library,Weak,,,
"3.068.355.321.884.150,00",Before,74512385,Shalow,,,Code,Question,Framework/Library,Weak,,,Code
"32.205.381.989.479.000,00",After,75915623,Medium,,Image,Code,Question,General Programming Concepts,Medium,,,Code
"3.231.267.035.007.470,00",After,74811238,Medium,Documentation,,Code,Question,Framework/Library,Medium,,Documentation,
"3.237.150.013.446.800,00",After,75089553,Strong,External Link,,Code,Open,Web development,Medium,,,Code
"32.446.661.591.529.800,00",Before,73387665,Shalow,,Image,,Question,Framework/Library,Medium,,Documentation,Code
"34.453.755.617.141.700,00",Before,73972027,Medium,,,Code,Question,Programming Languages,Strong,,,Code
"34.763.050.079.345.700,00",Before,73750333,Medium,,,Code,Question,Programming Languages,Weak,,,Code
"34.951.063.990.592.900,00",After,75221294,Shalow,,Image,,Open,Tools/IDEs,Medium,,External Link,
"3.528.423.011.302.940,00",Before,72978467,Shalow,,,,Question,Tools/IDEs,Medium,,,
"3.571.908.473.968.500,00",After,75948146,Medium,,Image,Code,Question,Framework/Library,Medium,,Documentation,
"3.598.736.524.581.900,00",Before,74214892,Medium,,,Code,Open,Framework/Library,Strong,,Documentation,
"365.501.344.203.949,00",After,75768912,Medium,,,Code,Question,Framework/Library,Strong,,,
"3.667.609.989.643.090,00",After,75211654,Shalow,,,,Question,Tools/IDEs,Medium,,,
"36.792.489.886.283.800,00",After,75909740,Shalow,,Image,,Question,Framework/Library,Medium,Image,,
"37.009.114.027.023.300,00",After,75449324,Shalow,,,,Open,Framework/Library,Medium,,Another SO question,Code
"3.759.613.633.155.820,00",After,76004983,Medium,,,Code,Question,Programming Languages,Medium,,,
"3.780.609.667.301.170,00",After,75818472,Shalow,,Image,,Question,Framework/Library,Medium,,Documentation,Code
"3.785.000.741.481.780,00",Before,73526145,Shalow,Documentation,,,Question,Framework/Library,Medium,,,Code
"3.818.897.008.895.870,00",Before,73867414,Medium,,,,Question,DevOps,Weak,,External Link,
"38.876.110.315.322.800,00",After,74635523,Medium,,Image,Code,Open,Framework/Library,Strong,,,Code
"3.896.360.397.338.860,00",Before,74041416,Medium,,,Code,Question,Framework/Library,Strong,,,Code
"39.296.993.613.243.100,00",Before,73218534,Medium,,,Code,Question,Framework/Library,Medium,,Another SO question,Code
"3.946.433.961.391.440,00",After,75392538,Medium,,,Code,,Framework/Library,Strong,,,Code
"39.560.285.210.609.400,00",Before,73452611,Medium,,Image,Code,Open,Web development,Strong,,,
"3.963.852.524.757.380,00",After,75299402,Medium,,,Code,Question,Database/SQL,Weak,,,Code
"398.965.060.710.907,00",After,75377287,Shalow,,Image,,Question,Tools/IDEs,Weak,,Documentation,
"400.029.718.875.885,00",After,75802587,Medium,,,Code,Open,Framework/Library,Weak,Image,,Code
"40.466.344.356.536.800,00",After,75374281,Medium,,Image,Code,Question,Programming Languages,Medium,Image,,Code
"4.100.659.191.608.420,00",After,74622976,Shalow,,,Code,Question,Framework/Library,Medium,,,Code
"41.497.382.521.629.300,00",Before,74053380,Shalow,,,,Question,Framework/Library,Weak,,,Code
"41.789.889.335.632.300,00",After,76030821,Shalow,,,,Question,Tools/IDEs,Weak,,Documentation,Code
"4.224.928.617.477.410,00",After,75255746,Shalow,,,Code,Question,Programming Languages,Medium,,Documentation,
"4.257.221.221.923.820,00",Before,73682305,Strong,External Link,,Code,Question,Programming Languages,Strong,,,Code
"4.257.848.858.833.310,00",Before,72954104,Shalow,,,,Question,Tools/IDEs,Medium,,,
"42.698.198.556.900.000,00",After,75004091,Medium,,,Code,Question,Framework/Library,Strong,,,Code
"42.895.370.721.817.000,00",Before,74871350,Medium,,,Code,Question,Framework/Library,Medium,,,Code
"430.801.123.380.661,00",Before,72925947,Shalow,,,Code,Question,Framework/Library,Weak,,Another SO question,Code
"43.134.140.968.322.700,00",Before,74437558,Medium,,,Code,Question,Framework/Library,Medium,,,
"43.284.764.885.902.400,00",After,74996056,Shalow,,Image,Error message,Open,Tools/IDEs,Strong,,,
"4.333.226.978.778.830,00",After,75715631,Medium,,,Code,Question,Framework/Library,Medium,,Documentation,Code
"43.424.680.829.048.100,00",Before,73464752,Medium,,,Code,Question,Framework/Library,Medium,,Documentation,
"4.344.978.630.542.750,00",After,74625152,Medium,Another SO question,,Code,Question,Operating Systems,Medium,,,Code
"44.057.393.074.035.600,00",After,74506570,Shalow,External Link,Image,,Question,Framework/Library,Strong,Image,Documentation,
"4.417.904.019.355.770,00",Before,74041404,Medium,,,Code,Question,DevOps,Strong,,,
"4.422.425.925.731.650,00",Before,73369911,Strong,,,Code/Expected Outcome,Open,Programming Languages,Weak,,,Code
"4.437.330.961.227.410,00",After,75385779,Shalow,,,Code,Question,Database/SQL,Medium,,Documentation,Code
"4.465.930.461.883.540,00",Before,73553976,Strong,,,Code,Question,Programming Languages,Medium,,,
"44.672.727.584.838.800,00",Before,74393426,Medium,External Link,,,Question,General Programming Concepts,Strong,,,
"4.470.662.474.632.260,00",After,74999834,Strong,,,Error message,Open,Tools/IDEs,Strong,,Documentation,Code
"44.880.810.379.981.900,00",After,74637515,Medium,,,Code,Question,Tools/IDEs,Strong,,,Code
"4.488.104.581.832.880,00",After,75709844,Medium,,,Code,Open,Programming Languages,Medium,,Another SO question,Code
"4.528.704.583.644.860,00",Before,74422849,Shalow,,Image,Code,Open,Framework/Library,Medium,,,Code
"4.528.798.460.960.380,00",Before,73004413,Shalow,,,Code,Open,DevOps,Weak,,External Link,Code
"4.531.279.504.299.160,00",After,75585439,Medium,,Image,Code,Question,Framework/Library,Strong,,,
"4.579.702.615.737.910,00",After,75100575,Medium,,Image,Code,Question,Web development,Strong,,,Code
"4.587.784.707.546.230,00",Before,73201201,Medium,,,Code,Question,Database/SQL,Medium,,,Code
"46.129.703.521.728.500,00",Before,73367075,Shalow,,,Code,Open,Database/SQL,Medium,,,Code
"4.644.317.626.953.120,00",Before,74594144,Shalow,,,Code,Open,Programming Languages,Weak,,,Code
"46.610.766.649.246.200,00",After,75257103,Medium,,Image,Code,Question,Framework/Library,Medium,,,Code
"4.664.435.386.657.710,00",After,75220574,Medium,,Image,Code,Question,Framework/Library,Weak,,,Code
"46.781.402.826.309.200,00",Before,72971634,Shalow,,Image,Code,Question,Framework/Library,Weak,,,Code
"4.682.358.503.341.670,00",Before,73076798,Shalow,,,Code,Question,General Programming Concepts,Weak,,,Code
"4.695.955.812.931.060,00",After,74743835,Medium,,,Code,Question,Programming Languages,Weak,,,Code
"47.129.449.248.313.900,00",Before,74548191,Shalow,,Image,Code,Question,Tools/IDEs,Weak,Image,Another SO question,Code
