date,number_answers,week_day
2024-01-05,1428,Friday
2024-01-06,892,Saturday
2024-01-07,938,Sunday
2024-01-08,1459,Monday
2024-01-09,1680,Tuesday
2024-01-10,1710,Wednesday
2023-12-02,866,Saturday
2024-01-11,1621,Thursday
2024-01-12,1497,Friday
2024-01-13,933,Saturday
2024-01-14,834,Sunday
2024-01-15,1466,Monday
2023-12-10,825,Sunday
2023-12-11,1467,Monday
2023-12-12,1540,Tuesday
2023-12-13,1524,Wednesday
2024-01-01,732,Monday
2024-01-02,1342,Tuesday
2024-01-03,1423,Wednesday
2024-01-04,1610,Thursday
2023-12-06,1570,Wednesday
2023-12-07,1477,Thursday
2023-12-08,1378,Friday
2023-12-09,866,Saturday
2024-03-11,1554,Monday
2024-03-12,1640,Tuesday
2024-03-13,1717,Wednesday
2024-03-14,1644,Thursday
2024-03-15,1573,Friday
2024-03-16,880,Saturday
2024-03-17,909,Sunday
2024-03-18,1582,Monday
2024-03-19,1587,Tuesday
2024-03-20,1656,Wednesday
2023-12-14,1520,Thursday
2023-12-15,1339,Friday
2023-12-16,842,Saturday
2024-04-21,818,Sunday
2024-04-22,1428,Monday
2024-04-23,1521,Tuesday
2024-04-24,1504,Wednesday
2023-12-28,1250,Thursday
2023-12-29,1160,Friday
2023-12-30,779,Saturday
2023-12-31,695,Sunday
2023-12-03,830,Sunday
2023-12-04,1409,Monday
2023-12-05,1494,Tuesday
2023-12-17,822,Sunday
2023-12-18,1467,Monday
2023-12-19,1480,Tuesday
2024-03-01,1466,Friday
2024-03-02,889,Saturday
2024-03-03,903,Sunday
2024-03-04,1545,Monday
2024-03-05,1584,Tuesday
2024-03-06,1763,Wednesday
2024-03-07,1744,Thursday
2024-03-08,1497,Friday
2024-03-09,821,Saturday
2024-03-10,827,Sunday
2023-12-01,1274,Friday
2024-01-21,959,Sunday
2024-01-22,1591,Monday
2024-01-23,1555,Tuesday
2024-01-24,1725,Wednesday
2024-01-25,1646,Thursday
2024-04-29,1387,Monday
2024-04-30,1490,Tuesday
2024-04-11,1461,Thursday
2024-04-12,1395,Friday
2024-04-13,726,Saturday
2024-04-14,757,Sunday
2024-04-15,1439,Monday
2024-04-16,1551,Tuesday
2024-04-17,1563,Wednesday
2024-04-18,1650,Thursday
2024-04-19,1499,Friday
2024-04-20,828,Saturday
2024-04-01,1239,Monday
2024-02-21,1779,Wednesday
2024-02-22,1720,Thursday
2024-02-23,1567,Friday
2024-02-24,882,Saturday
2024-02-25,847,Sunday
2024-02-26,1603,Monday
2024-02-27,1646,Tuesday
2024-02-28,1720,Wednesday
2024-02-29,1663,Thursday
2024-03-21,1586,Thursday
2024-03-22,1484,Friday
2024-03-23,875,Saturday
2024-03-24,884,Sunday
2024-03-25,1374,Monday
2024-03-26,1576,Tuesday
2024-03-27,1577,Wednesday
2024-03-28,1572,Thursday
2024-03-29,1236,Friday
2024-03-30,802,Saturday
2024-03-31,783,Sunday
2024-01-26,1538,Friday
2024-01-27,876,Saturday
2024-01-28,907,Sunday
2024-01-29,1590,Monday
2024-01-30,1715,Tuesday
2024-01-31,1684,Wednesday
2024-02-01,1716,Thursday
2024-02-02,1664,Friday
2024-02-03,911,Saturday
2024-02-04,876,Sunday
2024-02-05,1631,Monday
2024-02-06,1731,Tuesday
2024-02-07,1768,Wednesday
2024-02-08,1684,Thursday
2024-02-09,1573,Friday
2024-02-10,925,Saturday
2023-11-30,1191,Thursday
2024-01-17,1733,Wednesday
2024-01-18,1756,Thursday
2024-01-19,1583,Friday
2024-01-20,982,Saturday
2024-01-16,1568,Tuesday
2023-12-24,626,Sunday
2023-12-25,701,Monday
2023-12-26,1000,Tuesday
2023-12-27,1151,Wednesday
2024-04-25,1471,Thursday
2024-04-26,1470,Friday
2024-04-27,758,Saturday
2024-04-28,789,Sunday
2024-02-11,866,Sunday
2024-02-12,1468,Monday
2024-02-13,1587,Tuesday
2024-02-14,1511,Wednesday
2024-02-15,1610,Thursday
2024-02-16,1472,Friday
2024-02-17,836,Saturday
2024-02-18,854,Sunday
2024-02-19,1544,Monday
2024-02-20,1717,Tuesday
2024-04-02,1520,Tuesday
2024-04-03,1623,Wednesday
2024-04-04,1485,Thursday
2024-04-05,1397,Friday
2024-04-06,834,Saturday
2024-04-07,827,Sunday
2024-04-08,1498,Monday
2024-04-09,1525,Tuesday
2024-04-10,1508,Wednesday
2023-12-20,1543,Wednesday
2023-12-21,1441,Thursday
2023-12-22,1275,Friday
2023-12-23,689,Saturday
