date,value
2023-11-30,62
2023-12-01,71
2023-12-02,53
2023-12-03,65
2023-12-04,74
2023-12-05,84
2023-12-06,97
2023-12-07,90
2023-12-08,90
2023-12-09,50
2023-12-10,48
2023-12-11,93
2023-12-12,81
2023-12-13,100
2023-12-14,93
2023-12-15,68
2023-12-16,45
2023-12-17,45
2023-12-18,92
2023-12-19,81
2023-12-20,96
2023-12-21,85
2023-12-22,65
2023-12-23,47
2023-12-24,43
2023-12-25,46
2023-12-26,68
2023-12-27,91
2023-12-28,89
2023-12-29,68
2023-12-30,46
2023-12-31,48
2024-01-01,43
2024-01-02,77
2024-01-03,80
2024-01-04,95
2024-01-05,82
2024-01-06,53
2024-01-07,38
2024-01-08,85
2024-01-09,91
2024-01-10,96
2024-01-11,103
2024-01-12,86
2024-01-13,52
2024-01-14,62
2024-01-15,70
2024-01-16,88
2024-01-17,86
2024-01-18,81
2024-01-19,95
2024-01-20,58
2024-01-21,59
2024-01-22,91
2024-01-23,102
2024-01-24,84
2024-01-25,82
2024-01-26,75
2024-01-27,49
2024-01-28,50
2024-01-29,80
2024-01-30,97
2024-01-31,103
2024-02-01,98
2024-02-02,103
2024-02-03,52
2024-02-04,54
2024-02-05,78
2024-02-06,76
2024-02-07,102
2024-02-08,101
2024-02-09,89
2024-02-10,45
2024-02-11,48
2024-02-12,72
2024-02-13,89
2024-02-14,67
2024-02-15,72
2024-02-16,80
2024-02-17,64
2024-02-18,68
2024-02-19,96
2024-02-20,97
2024-02-21,94
2024-02-22,103
2024-02-23,95
2024-02-24,42
2024-02-25,62
2024-02-26,80
2024-02-27,82
2024-02-28,113
2024-02-29,95
2024-03-01,77
2024-03-02,53
2024-03-03,50
2024-03-04,94
2024-03-05,85
2024-03-06,98
2024-03-07,94
2024-03-08,73
2024-03-09,53
2024-03-10,46
2024-03-11,82
2024-03-12,94
2024-03-13,72
2024-03-14,80
2024-03-15,82
2024-03-16,38
2024-03-17,52
2024-03-18,87
2024-03-19,86
2024-03-20,77
2024-03-21,84
2024-03-22,86
2024-03-23,51
2024-03-24,51
2024-03-25,76
2024-03-26,90
2024-03-27,78
2024-03-28,79
2024-03-29,76
2024-03-30,56
2024-03-31,61
2024-04-01,75
2024-04-02,90
2024-04-03,72
2024-04-04,80
2024-04-05,81
2024-04-06,46
2024-04-07,41
2024-04-08,61
2024-04-09,76
2024-04-10,69
2024-04-11,80
2024-04-12,70
2024-04-13,34
2024-04-14,52
2024-04-15,80
2024-04-16,85
2024-04-17,66
2024-04-18,74
2024-04-19,84
2024-04-20,48
2024-04-21,47
2024-04-22,67
2024-04-23,92
2024-04-24,82
2024-04-25,84
2024-04-26,65
2024-04-27,42
2024-04-28,62
2024-04-29,70
2024-04-30,85
