date,value
2023-11-30,25
2023-12-01,28
2023-12-02,27
2023-12-03,12
2023-12-04,24
2023-12-05,40
2023-12-06,31
2023-12-07,35
2023-12-08,20
2023-12-09,8
2023-12-10,27
2023-12-11,21
2023-12-12,25
2023-12-13,37
2023-12-14,32
2023-12-15,24
2023-12-16,16
2023-12-17,13
2023-12-18,39
2023-12-19,37
2023-12-20,40
2023-12-21,24
2023-12-22,29
2023-12-23,17
2023-12-24,11
2023-12-25,11
2023-12-26,25
2023-12-27,28
2023-12-28,26
2023-12-29,25
2023-12-30,19
2023-12-31,16
2024-01-01,20
2024-01-02,36
2024-01-03,29
2024-01-04,23
2024-01-05,34
2024-01-06,18
2024-01-07,19
2024-01-08,27
2024-01-09,30
2024-01-10,47
2024-01-11,28
2024-01-12,33
2024-01-13,15
2024-01-14,18
2024-01-15,28
2024-01-16,41
2024-01-17,35
2024-01-18,32
2024-01-19,39
2024-01-20,13
2024-01-21,20
2024-01-22,33
2024-01-23,30
2024-01-24,39
2024-01-25,28
2024-01-26,35
2024-01-27,18
2024-01-28,16
2024-01-29,28
2024-01-30,32
2024-01-31,38
2024-02-01,43
2024-02-02,27
2024-02-03,25
2024-02-04,13
2024-02-05,31
2024-02-06,38
2024-02-07,31
2024-02-08,41
2024-02-09,30
2024-02-10,17
2024-02-11,18
2024-02-12,33
2024-02-13,31
2024-02-14,31
2024-02-15,21
2024-02-16,30
2024-02-17,16
2024-02-18,25
2024-02-19,31
2024-02-20,24
2024-02-21,34
2024-02-22,35
2024-02-23,37
2024-02-24,19
2024-02-25,16
2024-02-26,31
2024-02-27,28
2024-02-28,36
2024-02-29,23
2024-03-01,34
2024-03-02,14
2024-03-03,12
2024-03-04,31
2024-03-05,36
2024-03-06,34
2024-03-07,46
2024-03-08,27
2024-03-09,20
2024-03-10,12
2024-03-11,42
2024-03-12,34
2024-03-13,32
2024-03-14,38
2024-03-15,30
2024-03-16,19
2024-03-17,24
2024-03-18,26
2024-03-19,50
2024-03-20,29
2024-03-21,32
2024-03-22,29
2024-03-23,26
2024-03-24,22
2024-03-25,26
2024-03-26,28
2024-03-27,34
2024-03-28,20
2024-03-29,32
2024-03-30,12
2024-03-31,19
2024-04-01,23
2024-04-02,33
2024-04-03,30
2024-04-04,29
2024-04-05,22
2024-04-06,24
2024-04-07,17
2024-04-08,30
2024-04-09,20
2024-04-10,30
2024-04-11,34
2024-04-12,39
2024-04-13,11
2024-04-14,29
2024-04-15,31
2024-04-16,32
2024-04-17,30
2024-04-18,41
2024-04-19,25
2024-04-20,21
2024-04-21,21
2024-04-22,27
2024-04-23,26
2024-04-24,28
2024-04-25,24
2024-04-26,32
2024-04-27,25
2024-04-28,20
2024-04-29,21
2024-04-30,29
