date,value
2023-11-30,96
2023-12-01,103
2023-12-02,76
2023-12-03,75
2023-12-04,112
2023-12-05,101
2023-12-06,137
2023-12-07,118
2023-12-08,108
2023-12-09,62
2023-12-10,74
2023-12-11,108
2023-12-12,109
2023-12-13,112
2023-12-14,122
2023-12-15,107
2023-12-16,71
2023-12-17,61
2023-12-18,102
2023-12-19,97
2023-12-20,124
2023-12-21,103
2023-12-22,90
2023-12-23,66
2023-12-24,52
2023-12-25,53
2023-12-26,89
2023-12-27,85
2023-12-28,92
2023-12-29,99
2023-12-30,78
2023-12-31,47
2024-01-01,58
2024-01-02,95
2024-01-03,120
2024-01-04,107
2024-01-05,113
2024-01-06,67
2024-01-07,76
2024-01-08,113
2024-01-09,120
2024-01-10,131
2024-01-11,98
2024-01-12,123
2024-01-13,70
2024-01-14,65
2024-01-15,91
2024-01-16,113
2024-01-17,122
2024-01-18,98
2024-01-19,117
2024-01-20,66
2024-01-21,77
2024-01-22,98
2024-01-23,118
2024-01-24,122
2024-01-25,111
2024-01-26,105
2024-01-27,90
2024-01-28,72
2024-01-29,130
2024-01-30,110
2024-01-31,122
2024-02-01,132
2024-02-02,100
2024-02-03,80
2024-02-04,82
2024-02-05,125
2024-02-06,137
2024-02-07,120
2024-02-08,132
2024-02-09,88
2024-02-10,83
2024-02-11,60
2024-02-12,115
2024-02-13,96
2024-02-14,114
2024-02-15,107
2024-02-16,99
2024-02-17,73
2024-02-18,76
2024-02-19,91
2024-02-20,105
2024-02-21,110
2024-02-22,116
2024-02-23,103
2024-02-24,61
2024-02-25,67
2024-02-26,129
2024-02-27,109
2024-02-28,122
2024-02-29,106
2024-03-01,105
2024-03-02,65
2024-03-03,56
2024-03-04,88
2024-03-05,92
2024-03-06,121
2024-03-07,130
2024-03-08,99
2024-03-09,62
2024-03-10,66
2024-03-11,97
2024-03-12,110
2024-03-13,125
2024-03-14,104
2024-03-15,115
2024-03-16,64
2024-03-17,77
2024-03-18,108
2024-03-19,110
2024-03-20,115
2024-03-21,113
2024-03-22,97
2024-03-23,71
2024-03-24,61
2024-03-25,80
2024-03-26,97
2024-03-27,104
2024-03-28,120
2024-03-29,96
2024-03-30,54
2024-03-31,64
2024-04-01,82
2024-04-02,97
2024-04-03,135
2024-04-04,99
2024-04-05,86
2024-04-06,71
2024-04-07,52
2024-04-08,79
2024-04-09,79
2024-04-10,94
2024-04-11,82
2024-04-12,87
2024-04-13,61
2024-04-14,68
2024-04-15,81
2024-04-16,97
2024-04-17,110
2024-04-18,117
2024-04-19,128
2024-04-20,63
2024-04-21,58
2024-04-22,111
2024-04-23,91
2024-04-24,103
2024-04-25,113
2024-04-26,91
2024-04-27,65
2024-04-28,68
2024-04-29,101
2024-04-30,87
