date,value
2023-11-30,35
2023-12-01,50
2023-12-02,21
2023-12-03,18
2023-12-04,49
2023-12-05,41
2023-12-06,45
2023-12-07,36
2023-12-08,43
2023-12-09,17
2023-12-10,27
2023-12-11,43
2023-12-12,41
2023-12-13,48
2023-12-14,59
2023-12-15,37
2023-12-16,25
2023-12-17,16
2023-12-18,43
2023-12-19,42
2023-12-20,39
2023-12-21,38
2023-12-22,36
2023-12-23,10
2023-12-24,14
2023-12-25,15
2023-12-26,19
2023-12-27,38
2023-12-28,30
2023-12-29,29
2023-12-30,11
2023-12-31,18
2024-01-01,18
2024-01-02,51
2024-01-03,37
2024-01-04,26
2024-01-05,42
2024-01-06,20
2024-01-07,17
2024-01-08,40
2024-01-09,56
2024-01-10,48
2024-01-11,40
2024-01-12,42
2024-01-13,21
2024-01-14,25
2024-01-15,34
2024-01-16,41
2024-01-17,46
2024-01-18,39
2024-01-19,33
2024-01-20,23
2024-01-21,22
2024-01-22,53
2024-01-23,45
2024-01-24,39
2024-01-25,44
2024-01-26,30
2024-01-27,26
2024-01-28,20
2024-01-29,47
2024-01-30,35
2024-01-31,36
2024-02-01,41
2024-02-02,55
2024-02-03,22
2024-02-04,26
2024-02-05,44
2024-02-06,47
2024-02-07,46
2024-02-08,48
2024-02-09,48
2024-02-10,24
2024-02-11,10
2024-02-12,30
2024-02-13,42
2024-02-14,43
2024-02-15,48
2024-02-16,48
2024-02-17,25
2024-02-18,27
2024-02-19,48
2024-02-20,40
2024-02-21,57
2024-02-22,49
2024-02-23,32
2024-02-24,17
2024-02-25,24
2024-02-26,29
2024-02-27,49
2024-02-28,42
2024-02-29,45
2024-03-01,37
2024-03-02,20
2024-03-03,24
2024-03-04,27
2024-03-05,33
2024-03-06,39
2024-03-07,55
2024-03-08,44
2024-03-09,22
2024-03-10,20
2024-03-11,37
2024-03-12,44
2024-03-13,44
2024-03-14,32
2024-03-15,33
2024-03-16,14
2024-03-17,26
2024-03-18,38
2024-03-19,41
2024-03-20,32
2024-03-21,51
2024-03-22,47
2024-03-23,15
2024-03-24,29
2024-03-25,26
2024-03-26,33
2024-03-27,40
2024-03-28,33
2024-03-29,20
2024-03-30,26
2024-03-31,23
2024-04-01,25
2024-04-02,50
2024-04-03,47
2024-04-04,42
2024-04-05,37
2024-04-06,28
2024-04-07,26
2024-04-08,45
2024-04-09,36
2024-04-10,41
2024-04-11,41
2024-04-12,38
2024-04-13,18
2024-04-14,18
2024-04-15,30
2024-04-16,34
2024-04-17,41
2024-04-18,47
2024-04-19,35
2024-04-20,15
2024-04-21,14
2024-04-22,37
2024-04-23,45
2024-04-24,40
2024-04-25,45
2024-04-26,36
2024-04-27,25
2024-04-28,17
2024-04-29,33
2024-04-30,39
