date,value
2023-11-30,20
2023-12-01,10
2023-12-02,6
2023-12-03,7
2023-12-04,17
2023-12-05,10
2023-12-06,10
2023-12-07,11
2023-12-08,10
2023-12-09,2
2023-12-10,9
2023-12-11,9
2023-12-12,12
2023-12-13,12
2023-12-14,5
2023-12-15,8
2023-12-16,3
2023-12-17,4
2023-12-18,8
2023-12-19,12
2023-12-20,5
2023-12-21,13
2023-12-22,9
2023-12-23,3
2023-12-24,4
2023-12-25,5
2023-12-26,6
2023-12-27,7
2023-12-28,10
2023-12-29,8
2023-12-30,4
2023-12-31,6
2024-01-01,1
2024-01-02,7
2024-01-03,13
2024-01-04,7
2024-01-05,9
2024-01-06,4
2024-01-07,9
2024-01-08,9
2024-01-09,7
2024-01-10,7
2024-01-11,10
2024-01-12,9
2024-01-13,4
2024-01-14,7
2024-01-15,14
2024-01-16,9
2024-01-17,15
2024-01-18,9
2024-01-19,13
2024-01-20,9
2024-01-21,9
2024-01-22,11
2024-01-23,14
2024-01-24,17
2024-01-25,9
2024-01-26,10
2024-01-27,9
2024-01-28,5
2024-01-29,16
2024-01-30,11
2024-01-31,12
2024-02-01,11
2024-02-02,11
2024-02-03,4
2024-02-04,6
2024-02-05,22
2024-02-06,13
2024-02-07,15
2024-02-08,17
2024-02-09,12
2024-02-10,6
2024-02-11,5
2024-02-12,10
2024-02-13,11
2024-02-14,12
2024-02-15,6
2024-02-16,6
2024-02-17,7
2024-02-18,6
2024-02-19,12
2024-02-20,10
2024-02-21,8
2024-02-22,12
2024-02-23,9
2024-02-24,10
2024-02-25,11
2024-02-26,8
2024-02-27,6
2024-02-28,14
2024-02-29,15
2024-03-01,14
2024-03-02,11
2024-03-03,9
2024-03-04,18
2024-03-05,12
2024-03-06,6
2024-03-07,7
2024-03-08,7
2024-03-09,3
2024-03-10,2
2024-03-11,10
2024-03-12,16
2024-03-13,19
2024-03-14,12
2024-03-15,11
2024-03-16,6
2024-03-17,7
2024-03-18,9
2024-03-19,13
2024-03-20,15
2024-03-21,15
2024-03-22,11
2024-03-23,6
2024-03-24,8
2024-03-25,15
2024-03-26,11
2024-03-27,15
2024-03-28,17
2024-03-29,9
2024-03-30,4
2024-03-31,3
2024-04-01,5
2024-04-02,8
2024-04-03,5
2024-04-04,13
2024-04-05,8
2024-04-06,6
2024-04-07,7
2024-04-08,12
2024-04-09,5
2024-04-10,9
2024-04-11,16
2024-04-12,13
2024-04-13,3
2024-04-14,1
2024-04-15,7
2024-04-16,16
2024-04-17,14
2024-04-18,11
2024-04-19,7
2024-04-20,10
2024-04-21,3
2024-04-22,12
2024-04-23,12
2024-04-24,13
2024-04-25,11
2024-04-26,6
2024-04-27,5
2024-04-28,5
2024-04-29,10
2024-04-30,8
