date,value
2023-11-30,10
2023-12-01,15
2023-12-02,5
2023-12-03,7
2023-12-04,9
2023-12-05,18
2023-12-06,12
2023-12-07,16
2023-12-08,15
2023-12-09,11
2023-12-10,8
2023-12-11,12
2023-12-12,16
2023-12-13,15
2023-12-14,9
2023-12-15,20
2023-12-16,12
2023-12-17,8
2023-12-18,11
2023-12-19,18
2023-12-20,12
2023-12-21,14
2023-12-22,12
2023-12-23,10
2023-12-24,5
2023-12-25,6
2023-12-26,18
2023-12-27,18
2023-12-28,11
2023-12-29,10
2023-12-30,7
2023-12-31,2
2024-01-01,6
2024-01-02,10
2024-01-03,11
2024-01-04,16
2024-01-05,9
2024-01-06,11
2024-01-07,5
2024-01-08,5
2024-01-09,11
2024-01-10,11
2024-01-11,9
2024-01-12,13
2024-01-13,6
2024-01-14,11
2024-01-15,11
2024-01-16,13
2024-01-17,14
2024-01-18,15
2024-01-19,12
2024-01-20,8
2024-01-21,17
2024-01-22,11
2024-01-23,18
2024-01-24,9
2024-01-25,11
2024-01-26,8
2024-01-27,10
2024-01-28,9
2024-01-29,9
2024-01-30,21
2024-01-31,20
2024-02-01,22
2024-02-02,13
2024-02-03,10
2024-02-04,6
2024-02-05,24
2024-02-06,16
2024-02-07,14
2024-02-08,16
2024-02-09,10
2024-02-10,6
2024-02-11,10
2024-02-12,15
2024-02-13,13
2024-02-14,12
2024-02-15,10
2024-02-16,14
2024-02-17,5
2024-02-18,10
2024-02-19,15
2024-02-20,12
2024-02-21,12
2024-02-22,19
2024-02-23,11
2024-02-24,7
2024-02-25,11
2024-02-26,15
2024-02-27,20
2024-02-28,16
2024-02-29,14
2024-03-01,8
2024-03-02,4
2024-03-03,4
2024-03-04,12
2024-03-05,11
2024-03-06,11
2024-03-07,15
2024-03-08,14
2024-03-09,7
2024-03-10,10
2024-03-11,15
2024-03-12,24
2024-03-13,10
2024-03-14,9
2024-03-15,13
2024-03-16,5
2024-03-17,6
2024-03-18,9
2024-03-19,12
2024-03-20,9
2024-03-21,12
2024-03-22,16
2024-03-23,10
2024-03-24,3
2024-03-25,18
2024-03-26,16
2024-03-27,14
2024-03-28,12
2024-03-29,10
2024-03-30,4
2024-03-31,6
2024-04-01,11
2024-04-02,9
2024-04-03,14
2024-04-04,24
2024-04-05,10
2024-04-06,9
2024-04-07,4
2024-04-08,13
2024-04-09,8
2024-04-10,10
2024-04-11,13
2024-04-12,4
2024-04-13,3
2024-04-14,5
2024-04-15,6
2024-04-16,15
2024-04-17,8
2024-04-18,11
2024-04-19,14
2024-04-20,5
2024-04-21,4
2024-04-22,12
2024-04-23,12
2024-04-24,10
2024-04-25,10
2024-04-26,11
2024-04-27,3
2024-04-28,5
2024-04-29,11
2024-04-30,9
