date,value
2023-11-30,20
2023-12-01,18
2023-12-02,10
2023-12-03,11
2023-12-04,24
2023-12-05,27
2023-12-06,26
2023-12-07,26
2023-12-08,15
2023-12-09,9
2023-12-10,18
2023-12-11,19
2023-12-12,22
2023-12-13,26
2023-12-14,22
2023-12-15,20
2023-12-16,7
2023-12-17,18
2023-12-18,31
2023-12-19,26
2023-12-20,24
2023-12-21,27
2023-12-22,19
2023-12-23,7
2023-12-24,6
2023-12-25,8
2023-12-26,13
2023-12-27,17
2023-12-28,27
2023-12-29,17
2023-12-30,8
2023-12-31,11
2024-01-01,6
2024-01-02,13
2024-01-03,19
2024-01-04,25
2024-01-05,19
2024-01-06,11
2024-01-07,12
2024-01-08,18
2024-01-09,30
2024-01-10,21
2024-01-11,21
2024-01-12,20
2024-01-13,9
2024-01-14,9
2024-01-15,27
2024-01-16,20
2024-01-17,28
2024-01-18,33
2024-01-19,21
2024-01-20,10
2024-01-21,10
2024-01-22,17
2024-01-23,22
2024-01-24,26
2024-01-25,26
2024-01-26,23
2024-01-27,8
2024-01-28,13
2024-01-29,16
2024-01-30,32
2024-01-31,33
2024-02-01,38
2024-02-02,32
2024-02-03,12
2024-02-04,16
2024-02-05,15
2024-02-06,24
2024-02-07,24
2024-02-08,22
2024-02-09,25
2024-02-10,17
2024-02-11,13
2024-02-12,27
2024-02-13,22
2024-02-14,22
2024-02-15,27
2024-02-16,26
2024-02-17,3
2024-02-18,14
2024-02-19,26
2024-02-20,24
2024-02-21,20
2024-02-22,22
2024-02-23,28
2024-02-24,15
2024-02-25,15
2024-02-26,25
2024-02-27,25
2024-02-28,25
2024-02-29,30
2024-03-01,13
2024-03-02,10
2024-03-03,9
2024-03-04,19
2024-03-05,23
2024-03-06,31
2024-03-07,29
2024-03-08,26
2024-03-09,14
2024-03-10,13
2024-03-11,23
2024-03-12,17
2024-03-13,27
2024-03-14,29
2024-03-15,13
2024-03-16,11
2024-03-17,11
2024-03-18,22
2024-03-19,17
2024-03-20,21
2024-03-21,31
2024-03-22,15
2024-03-23,13
2024-03-24,12
2024-03-25,28
2024-03-26,25
2024-03-27,23
2024-03-28,23
2024-03-29,11
2024-03-30,15
2024-03-31,8
2024-04-01,21
2024-04-02,17
2024-04-03,21
2024-04-04,19
2024-04-05,19
2024-04-06,6
2024-04-07,11
2024-04-08,17
2024-04-09,26
2024-04-10,24
2024-04-11,19
2024-04-12,22
2024-04-13,8
2024-04-14,10
2024-04-15,22
2024-04-16,30
2024-04-17,27
2024-04-18,21
2024-04-19,24
2024-04-20,16
2024-04-21,14
2024-04-22,30
2024-04-23,28
2024-04-24,24
2024-04-25,20
2024-04-26,19
2024-04-27,9
2024-04-28,8
2024-04-29,30
2024-04-30,18
