date,value
2023-11-30,113
2023-12-01,115
2023-12-02,50
2023-12-03,64
2023-12-04,103
2023-12-05,124
2023-12-06,123
2023-12-07,109
2023-12-08,126
2023-12-09,36
2023-12-10,64
2023-12-11,125
2023-12-12,111
2023-12-13,131
2023-12-14,122
2023-12-15,89
2023-12-16,59
2023-12-17,50
2023-12-18,106
2023-12-19,100
2023-12-20,101
2023-12-21,98
2023-12-22,83
2023-12-23,48
2023-12-24,35
2023-12-25,51
2023-12-26,65
2023-12-27,84
2023-12-28,81
2023-12-29,78
2023-12-30,40
2023-12-31,44
2024-01-01,39
2024-01-02,82
2024-01-03,89
2024-01-04,119
2024-01-05,85
2024-01-06,57
2024-01-07,58
2024-01-08,84
2024-01-09,104
2024-01-10,109
2024-01-11,102
2024-01-12,97
2024-01-13,44
2024-01-14,49
2024-01-15,79
2024-01-16,110
2024-01-17,112
2024-01-18,108
2024-01-19,94
2024-01-20,55
2024-01-21,57
2024-01-22,107
2024-01-23,100
2024-01-24,108
2024-01-25,95
2024-01-26,100
2024-01-27,41
2024-01-28,54
2024-01-29,96
2024-01-30,112
2024-01-31,110
2024-02-01,105
2024-02-02,110
2024-02-03,47
2024-02-04,64
2024-02-05,95
2024-02-06,105
2024-02-07,111
2024-02-08,121
2024-02-09,87
2024-02-10,45
2024-02-11,43
2024-02-12,103
2024-02-13,109
2024-02-14,117
2024-02-15,120
2024-02-16,93
2024-02-17,58
2024-02-18,51
2024-02-19,108
2024-02-20,104
2024-02-21,105
2024-02-22,106
2024-02-23,91
2024-02-24,50
2024-02-25,50
2024-02-26,110
2024-02-27,118
2024-02-28,136
2024-02-29,113
2024-03-01,96
2024-03-02,39
2024-03-03,48
2024-03-04,91
2024-03-05,106
2024-03-06,113
2024-03-07,93
2024-03-08,81
2024-03-09,59
2024-03-10,40
2024-03-11,103
2024-03-12,131
2024-03-13,120
2024-03-14,110
2024-03-15,88
2024-03-16,51
2024-03-17,60
2024-03-18,82
2024-03-19,113
2024-03-20,97
2024-03-21,94
2024-03-22,98
2024-03-23,66
2024-03-24,46
2024-03-25,92
2024-03-26,105
2024-03-27,96
2024-03-28,74
2024-03-29,73
2024-03-30,55
2024-03-31,51
2024-04-01,96
2024-04-02,115
2024-04-03,128
2024-04-04,101
2024-04-05,100
2024-04-06,54
2024-04-07,46
2024-04-08,102
2024-04-09,95
2024-04-10,105
2024-04-11,91
2024-04-12,88
2024-04-13,42
2024-04-14,49
2024-04-15,102
2024-04-16,97
2024-04-17,129
2024-04-18,111
2024-04-19,93
2024-04-20,64
2024-04-21,60
2024-04-22,120
2024-04-23,107
2024-04-24,113
2024-04-25,105
2024-04-26,87
2024-04-27,59
2024-04-28,48
2024-04-29,105
2024-04-30,97
