date,value
2023-11-30,48
2023-12-01,53
2023-12-02,46
2023-12-03,31
2023-12-04,40
2023-12-05,46
2023-12-06,58
2023-12-07,37
2023-12-08,50
2023-12-09,34
2023-12-10,47
2023-12-11,70
2023-12-12,59
2023-12-13,52
2023-12-14,53
2023-12-15,50
2023-12-16,42
2023-12-17,32
2023-12-18,46
2023-12-19,55
2023-12-20,63
2023-12-21,57
2023-12-22,42
2023-12-23,40
2023-12-24,27
2023-12-25,29
2023-12-26,31
2023-12-27,47
2023-12-28,50
2023-12-29,47
2023-12-30,42
2023-12-31,27
2024-01-01,27
2024-01-02,41
2024-01-03,54
2024-01-04,68
2024-01-05,60
2024-01-06,37
2024-01-07,44
2024-01-08,51
2024-01-09,64
2024-01-10,53
2024-01-11,65
2024-01-12,63
2024-01-13,28
2024-01-14,39
2024-01-15,44
2024-01-16,55
2024-01-17,44
2024-01-18,65
2024-01-19,69
2024-01-20,42
2024-01-21,33
2024-01-22,40
2024-01-23,66
2024-01-24,62
2024-01-25,54
2024-01-26,51
2024-01-27,33
2024-01-28,40
2024-01-29,57
2024-01-30,46
2024-01-31,65
2024-02-01,53
2024-02-02,54
2024-02-03,45
2024-02-04,28
2024-02-05,65
2024-02-06,48
2024-02-07,67
2024-02-08,72
2024-02-09,51
2024-02-10,39
2024-02-11,45
2024-02-12,43
2024-02-13,36
2024-02-14,56
2024-02-15,38
2024-02-16,47
2024-02-17,39
2024-02-18,43
2024-02-19,70
2024-02-20,47
2024-02-21,72
2024-02-22,54
2024-02-23,50
2024-02-24,42
2024-02-25,46
2024-02-26,39
2024-02-27,51
2024-02-28,46
2024-02-29,41
2024-03-01,63
2024-03-02,38
2024-03-03,38
2024-03-04,28
2024-03-05,45
2024-03-06,70
2024-03-07,42
2024-03-08,54
2024-03-09,32
2024-03-10,35
2024-03-11,39
2024-03-12,36
2024-03-13,49
2024-03-14,47
2024-03-15,51
2024-03-16,52
2024-03-17,32
2024-03-18,46
2024-03-19,42
2024-03-20,46
2024-03-21,42
2024-03-22,38
2024-03-23,41
2024-03-24,35
2024-03-25,21
2024-03-26,44
2024-03-27,44
2024-03-28,44
2024-03-29,51
2024-03-30,41
2024-03-31,41
2024-04-01,44
2024-04-02,45
2024-04-03,48
2024-04-04,44
2024-04-05,43
2024-04-06,27
2024-04-07,38
2024-04-08,41
2024-04-09,48
2024-04-10,35
2024-04-11,53
2024-04-12,39
2024-04-13,33
2024-04-14,28
2024-04-15,41
2024-04-16,43
2024-04-17,40
2024-04-18,77
2024-04-19,45
2024-04-20,31
2024-04-21,46
2024-04-22,42
2024-04-23,47
2024-04-24,39
2024-04-25,58
2024-04-26,48
2024-04-27,48
2024-04-28,41
2024-04-29,43
2024-04-30,45
