date,value
2023-11-30,185
2023-12-01,214
2023-12-02,141
2023-12-03,122
2023-12-04,183
2023-12-05,167
2023-12-06,210
2023-12-07,182
2023-12-08,183
2023-12-09,100
2023-12-10,97
2023-12-11,194
2023-12-12,204
2023-12-13,179
2023-12-14,184
2023-12-15,182
2023-12-16,111
2023-12-17,87
2023-12-18,160
2023-12-19,175
2023-12-20,197
2023-12-21,159
2023-12-22,144
2023-12-23,96
2023-12-24,85
2023-12-25,99
2023-12-26,147
2023-12-27,163
2023-12-28,161
2023-12-29,164
2023-12-30,106
2023-12-31,73
2024-01-01,93
2024-01-02,156
2024-01-03,165
2024-01-04,198
2024-01-05,169
2024-01-06,103
2024-01-07,96
2024-01-08,164
2024-01-09,192
2024-01-10,190
2024-01-11,197
2024-01-12,198
2024-01-13,123
2024-01-14,106
2024-01-15,150
2024-01-16,165
2024-01-17,201
2024-01-18,202
2024-01-19,191
2024-01-20,131
2024-01-21,137
2024-01-22,173
2024-01-23,168
2024-01-24,173
2024-01-25,194
2024-01-26,185
2024-01-27,133
2024-01-28,122
2024-01-29,181
2024-01-30,196
2024-01-31,184
2024-02-01,180
2024-02-02,191
2024-02-03,121
2024-02-04,118
2024-02-05,200
2024-02-06,196
2024-02-07,198
2024-02-08,180
2024-02-09,150
2024-02-10,119
2024-02-11,109
2024-02-12,182
2024-02-13,163
2024-02-14,177
2024-02-15,172
2024-02-16,159
2024-02-17,120
2024-02-18,112
2024-02-19,173
2024-02-20,178
2024-02-21,166
2024-02-22,168
2024-02-23,165
2024-02-24,111
2024-02-25,101
2024-02-26,174
2024-02-27,200
2024-02-28,202
2024-02-29,193
2024-03-01,166
2024-03-02,103
2024-03-03,103
2024-03-04,151
2024-03-05,173
2024-03-06,191
2024-03-07,218
2024-03-08,181
2024-03-09,110
2024-03-10,102
2024-03-11,182
2024-03-12,187
2024-03-13,167
2024-03-14,172
2024-03-15,179
2024-03-16,108
2024-03-17,117
2024-03-18,169
2024-03-19,156
2024-03-20,185
2024-03-21,173
2024-03-22,149
2024-03-23,129
2024-03-24,107
2024-03-25,142
2024-03-26,168
2024-03-27,144
2024-03-28,162
2024-03-29,148
2024-03-30,116
2024-03-31,107
2024-04-01,152
2024-04-02,139
2024-04-03,227
2024-04-04,177
2024-04-05,151
2024-04-06,104
2024-04-07,83
2024-04-08,145
2024-04-09,133
2024-04-10,170
2024-04-11,166
2024-04-12,138
2024-04-13,79
2024-04-14,102
2024-04-15,133
2024-04-16,160
2024-04-17,169
2024-04-18,181
2024-04-19,157
2024-04-20,99
2024-04-21,80
2024-04-22,125
2024-04-23,149
2024-04-24,187
2024-04-25,153
2024-04-26,148
2024-04-27,95
2024-04-28,102
2024-04-29,127
2024-04-30,167
