date,value
2023-11-30,47
2023-12-01,63
2023-12-02,50
2023-12-03,36
2023-12-04,77
2023-12-05,58
2023-12-06,70
2023-12-07,73
2023-12-08,67
2023-12-09,34
2023-12-10,24
2023-12-11,58
2023-12-12,75
2023-12-13,61
2023-12-14,62
2023-12-15,64
2023-12-16,40
2023-12-17,34
2023-12-18,44
2023-12-19,67
2023-12-20,56
2023-12-21,54
2023-12-22,49
2023-12-23,26
2023-12-24,20
2023-12-25,25
2023-12-26,38
2023-12-27,54
2023-12-28,54
2023-12-29,45
2023-12-30,32
2023-12-31,32
2024-01-01,18
2024-01-02,43
2024-01-03,74
2024-01-04,66
2024-01-05,48
2024-01-06,29
2024-01-07,40
2024-01-08,66
2024-01-09,63
2024-01-10,60
2024-01-11,53
2024-01-12,58
2024-01-13,38
2024-01-14,24
2024-01-15,49
2024-01-16,60
2024-01-17,72
2024-01-18,75
2024-01-19,54
2024-01-20,56
2024-01-21,43
2024-01-22,55
2024-01-23,75
2024-01-24,62
2024-01-25,57
2024-01-26,57
2024-01-27,40
2024-01-28,41
2024-01-29,57
2024-01-30,57
2024-01-31,52
2024-02-01,69
2024-02-02,49
2024-02-03,29
2024-02-04,49
2024-02-05,63
2024-02-06,59
2024-02-07,58
2024-02-08,66
2024-02-09,65
2024-02-10,44
2024-02-11,35
2024-02-12,56
2024-02-13,58
2024-02-14,76
2024-02-15,68
2024-02-16,59
2024-02-17,33
2024-02-18,42
2024-02-19,53
2024-02-20,73
2024-02-21,64
2024-02-22,50
2024-02-23,45
2024-02-24,38
2024-02-25,39
2024-02-26,81
2024-02-27,68
2024-02-28,67
2024-02-29,72
2024-03-01,67
2024-03-02,32
2024-03-03,30
2024-03-04,62
2024-03-05,48
2024-03-06,53
2024-03-07,70
2024-03-08,68
2024-03-09,27
2024-03-10,31
2024-03-11,70
2024-03-12,59
2024-03-13,83
2024-03-14,64
2024-03-15,56
2024-03-16,41
2024-03-17,35
2024-03-18,65
2024-03-19,77
2024-03-20,67
2024-03-21,44
2024-03-22,55
2024-03-23,25
2024-03-24,29
2024-03-25,48
2024-03-26,69
2024-03-27,61
2024-03-28,53
2024-03-29,46
2024-03-30,38
2024-03-31,30
2024-04-01,48
2024-04-02,58
2024-04-03,71
2024-04-04,57
2024-04-05,44
2024-04-06,29
2024-04-07,32
2024-04-08,41
2024-04-09,50
2024-04-10,53
2024-04-11,52
2024-04-12,44
2024-04-13,30
2024-04-14,32
2024-04-15,43
2024-04-16,63
2024-04-17,75
2024-04-18,70
2024-04-19,51
2024-04-20,37
2024-04-21,25
2024-04-22,46
2024-04-23,52
2024-04-24,68
2024-04-25,66
2024-04-26,53
2024-04-27,39
2024-04-28,35
2024-04-29,58
2024-04-30,54
